threshold_meV_per_atom,coordinate_endpoint,model_name,metric,bootstrap_ci_low_95,bootstrap_median,bootstrap_ci_high_95
0,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_100,93.0,97.0,100.0
0,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_1000,913.0,930.0,948.0
0,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_300,288.0,294.0,298.0
0,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_500,471.0,482.0,490.025
0,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_5000,4149.975,4203.0,4258.0
0,mp_matched_pool_coordinate,ALIGNN-FF,normalized_ap,0.4658937572554872,0.4781227334023207,0.4908139029246679
0,mp_matched_pool_coordinate,CHGNet,ap,0.8581625575658092,0.8635569583697327,0.8688666299327362
0,mp_matched_pool_coordinate,CHGNet,auroc,0.867583981891355,0.8720821021429723,0.8767891786443847
0,mp_matched_pool_coordinate,CHGNet,expected_stable_hits_at_100,93.0,97.0,100.0
0,mp_matched_pool_coordinate,CHGNet,expected_stable_hits_at_1000,957.0,971.0,981.0
0,mp_matched_pool_coordinate,CHGNet,expected_stable_hits_at_300,288.975,294.0,298.0
0,mp_matched_pool_coordinate,CHGNet,expected_stable_hits_at_500,471.0,483.0,491.0
0,mp_matched_pool_coordinate,CHGNet,expected_stable_hits_at_5000,4725.0,4757.0,4786.0
0,mp_matched_pool_coordinate,CHGNet,normalized_ap,0.7244451512452771,0.7341210157207309,0.7437889143299876
0,mp_matched_pool_coordinate,M3GNet,ap,0.8304885605937938,0.8361032298539017,0.8421355115290509
0,mp_matched_pool_coordinate,M3GNet,auroc,0.8311727848789388,0.8362876599633122,0.841519660735178
0,mp_matched_pool_coordinate,M3GNet,expected_stable_hits_at_100,93.0,97.0,100.0
0,mp_matched_pool_coordinate,M3GNet,expected_stable_hits_at_1000,960.0,973.0,983.0
0,mp_matched_pool_coordinate,M3GNet,expected_stable_hits_at_300,288.0,293.0,298.0
0,mp_matched_pool_coordinate,M3GNet,expected_stable_hits_at_500,475.0,486.0,494.0
0,mp_matched_pool_coordinate,M3GNet,expected_stable_hits_at_5000,4619.0,4655.0,4689.025
0,mp_matched_pool_coordinate,M3GNet,normalized_ap,0.670163547314175,0.6806802967873085,0.6917599762301571
0,mp_matched_pool_coordinate,MACE-MP,ap,0.8835835013066132,0.8884968700947816,0.893166572820716
0,mp_matched_pool_coordinate,MACE-MP,auroc,0.894021425989877,0.8981620143175099,0.9023843059936266
0,mp_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_100,93.0,97.0,100.0
0,mp_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_1000,957.0,971.0,982.0
0,mp_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_300,289.0,294.0,298.0
0,mp_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_500,476.975,487.0,494.0
0,mp_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_5000,4736.0,4768.0,4798.0
0,mp_matched_pool_coordinate,MACE-MP,normalized_ap,0.7734840252359324,0.7827221724870109,0.7915268036042509
0,mp_source_coordinate,ALIGNN-FF,ap,0.5945131535493854,0.6041403256025402,0.6137727035276828
0,mp_source_coordinate,ALIGNN-FF,auroc,0.6919223095139575,0.6987322496909286,0.7058141752929689
0,mp_source_coordinate,ALIGNN-FF,expected_stable_hits_at_100,55.0,64.0,73.0
0,mp_source_coordinate,ALIGNN-FF,expected_stable_hits_at_1000,679.975,709.0,740.0
