material_id,formula,mp_e_above_hull,alex_e_above_hull,abs_delta_ehull,mp_stable_exact,alex_stable_exact,discordant,quadrant,near_hull_10meV,near_hull_25meV,near_hull_50meV,ALIGNN-FF_rank,ALIGNN-FF_rank_percentile,CHGNet_rank,CHGNet_rank_percentile,MACE-MP_rank,MACE-MP_rank_percentile
mp-1011696,Cs2Se,0.004232759166665,0.0197146874999996,0.015481928333334598,False,False,False,both_unstable,True,True,True,243,0.8466898954703833,279,0.9721254355400697,279,0.9721254355400697
mp-1011709,Cs2Se,0.004192514999999,0.0200568125,0.015864297500001,False,False,False,both_unstable,True,True,True,244,0.8501742160278746,280,0.975609756097561,280,0.975609756097561
mp-10118,Mn3B4,0.018044119047617,0.0428654909523817,0.0248213719047647,False,False,False,both_unstable,False,True,True,27,0.09407665505226481,38,0.13240418118466898,35,0.12195121951219512
mp-1012110,Cs,0.024368322499999,0.0463111970689655,0.0219428745689665,False,False,False,both_unstable,False,True,True,287,1.0,287,1.0,286,0.9965156794425087
mp-1012435,PbS,0.056455185,0.0564551849999999,9.71445146547012e-17,False,False,False,both_unstable,False,False,False,225,0.7839721254355401,215,0.7491289198606271,226,0.7874564459930313
mp-10125,SbIr,0.081177980624999,0.0809761781249998,0.00020180249999919575,False,False,False,both_unstable,False,False,False,114,0.397212543554007,112,0.3902439024390244,108,0.37630662020905925
mp-10126,V5SiB2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,20,0.06968641114982578,24,0.08362369337979095,22,0.07665505226480836
mp-1012640,CrFeCoNi,0.066585322916667,0.0658018540625011,0.0007834688541659002,False,False,False,both_unstable,False,False,False,118,0.41114982578397213,67,0.23344947735191637,56,0.1951219512195122
mp-10129,TmNi4B,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,181,0.6306620209059234,142,0.49477351916376305,135,0.47038327526132406
mp-10133,Sc3BPb,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,122,0.4250871080139373,133,0.4634146341463415,127,0.4425087108013937
mp-1013525,VS2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,105,0.36585365853658536,104,0.3623693379790941,112,0.3902439024390244
mp-1013526,VS2,0.017861314999999,0.0172495733333342,0.0006117416666647987,False,False,False,both_unstable,False,True,True,103,0.3588850174216028,105,0.36585365853658536,113,0.39372822299651566
mp-1013527,BeGeP2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,172,0.5993031358885017,194,0.6759581881533101,191,0.6655052264808362
mp-1013545,Ca3BiAs,0.0878332485,0.0877176934166659,0.0001155550833341068,False,False,False,both_unstable,False,False,False,246,0.8571428571428571,253,0.8815331010452961,250,0.8710801393728222
mp-1013548,Ca3SbN,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,205,0.7142857142857143,202,0.7038327526132404,207,0.7212543554006968
mp-1013549,Ba3BiN,0.056357219999997,0.0563382599999995,1.895999999750042e-05,False,False,False,both_unstable,False,False,False,204,0.710801393728223,234,0.8153310104529616,236,0.8222996515679443
mp-1013554,Sr3PN,0.0,0.017218764775861,0.017218764775861,True,False,True,MP_stable_only,True,True,True,193,0.6724738675958188,221,0.7700348432055749,217,0.7560975609756098
mp-1013555,Sr3AsN,0.0,0.0303672979999998,0.0303672979999998,True,False,True,MP_stable_only,True,True,True,198,0.6898954703832753,227,0.7909407665505227,219,0.7630662020905923
mp-1013557,Ba3SbN,0.055228376999998,0.0552250790000004,3.2979999975979446e-06,False,False,False,both_unstable,False,False,False,185,0.6445993031358885,225,0.7839721254355401,227,0.7909407665505227
mp-1013558,Ca3BiP,0.033826749807698,0.0622374589999994,0.028410709192301396,False,False,False,both_unstable,False,False,True,236,0.8222996515679443,243,0.8466898954703833,245,0.8536585365853658
mp-10136,Ti2ReB2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,11,0.03832752613240418,18,0.0627177700348432,13,0.04529616724738676
mp-1013643,Sr3BiP,0.044351434875,0.0443744773749998,2.3042499999799404e-05,False,False,False,both_unstable,False,False,True,247,0.8606271777003485,256,0.89198606271777,255,0.8885017421602788
mp-1013734,Ba3AsN,0.081127904051281,0.0811074806666667,2.0423384614290385e-05,False,False,False,both_unstable,False,False,False,183,0.6376306620209059,226,0.7874564459930313,223,0.7770034843205574
mp-10139,Sc3SnB,0.0,0.0082998373333333,0.0082998373333333,True,False,True,MP_stable_only,True,True,True,117,0.4076655052264808,127,0.4425087108013937,117,0.4076655052264808
mp-1013900,TiSCl,0.00955604444444,0.0016203821428568,0.0079356623015832,False,False,False,both_unstable,True,True,True,125,0.4355400696864111,126,0.43902439024390244,139,0.4843205574912892
mp-1014,ZrMn2,0.002352779166669,0.0022470341666664,0.00010574500000259989,False,False,False,both_unstable,True,True,True,35,0.12195121951219512,14,0.04878048780487805,15,0.05226480836236934
mp-10140,Sc3TlB,0.033947740222224,0.0611817174999993,0.027233977277775302,False,False,False,both_unstable,False,False,True,137,0.47735191637630664,153,0.5331010452961672,145,0.5052264808362369
mp-1014013,P,0.053987197023809,0.0450431941666664,0.0089440028571426,False,False,False,both_unstable,False,False,True,128,0.445993031358885,187,0.6515679442508711,184,0.6411149825783972
mp-1014160,ZrN,0.049152732499997,0.0491527324999996,2.6020852139652106e-15,False,False,False,both_unstable,False,False,True,2,0.006968641114982578,4,0.013937282229965157,6,0.020905923344947737
