material_id,reduced_formula,chemical_system,num_sites,energy_above_hull
alex<agm003310235>,Li3(TbSn)2,Li-Sn-Tb,7,0.0906485338095239
alex<agm003388204>,Ce2SeN2,Ce-N-Se,5,0.0304135099999989
alex<agm003062749>,CsTlF3,Cs-F-Tl,10,0.0700245800000001
alex<agm002209644>,CsTlF3,Cs-F-Tl,10,0.0001308800000003
alex<agm003347573>,Cs3Tl2F6,Cs-F-Tl,11,0.052388423181819
alex<agm003659380>,Cs4TlF5,Cs-F-Tl,10,0.0042753895
alex<agm003053532>,CaBiAu,Au-Bi-Ca,6,0.0478100350000003
alex<agm002964819>,Ca2BiAu2,Au-Bi-Ca,10,0.0219011909999999
alex<agm003586794>,Ca3BiAu8,Au-Bi-Ca,12,0.0283279858333331
alex<agm001134902>,Er2GaNi,Er-Ga-Ni,4,0.0476759837499995
alex<agm003365800>,Er2Ga4Ni5,Er-Ga-Ni,11,0.0775492290909083
alex<agm001266989>,ErGaNi,Er-Ga-Ni,3,0.0499075024999999
alex<agm002225987>,ErGa5Ni2,Er-Ga-Ni,8,0.0521919012499951
alex<agm003409815>,ErGa3Ni2,Er-Ga-Ni,12,0.0385503109523837
alex<agm003672129>,Er(GaNi2)4,Er-Ga-Ni,13,0.0763598032621049
alex<agm002348450>,ErGa2Ni3,Er-Ga-Ni,6,0.0181954227777785
alex<agm002167760>,Er3(GaNi2)2,Er-Ga-Ni,9,0.0227929362963008
alex<agm001951061>,ErGa2Ni,Er-Ga-Ni,4,0.0996782849999995
alex<agm003351863>,Er3Ga7Ni2,Er-Ga-Ni,12,0.0179194838541629
alex<agm002186155>,CeFeSi2,Ce-Fe-Si,8,0.0
alex<agm003409562>,CeFe2Si3,Ce-Fe-Si,12,0.0558550549999985
alex<agm003640166>,Y5In4Au,Au-In-Y,10,0.0003306765000035
alex<agm002359540>,YInAu,Au-In-Y,6,0.0823598777777778
alex<agm002320440>,YbSnIr,Ir-Sn-Yb,6,0.0646197891666666
alex<agm002357636>,YbSnIr,Ir-Sn-Yb,6,0.0976886075000003
alex<agm002316789>,Ba3(ZnSi)4,Ba-Si-Zn,11,0.0015858354545486
alex<agm002178549>,KCdP,Cd-K-P,6,0.0033641116666665
alex<agm002198179>,Eu2AlCu2,Al-Cu-Eu,5,0.0
alex<agm002143088>,CsTlCl4,Cl-Cs-Tl,12,0.0
alex<agm003314682>,Cs2Tl2Cl5,Cl-Cs-Tl,18,0.0240694233333353
alex<agm003660701>,Cs4TlCl5,Cl-Cs-Tl,10,0.0029573270000002
alex<agm003440366>,Rb2TlBr4,Br-Rb-Tl,14,0.0811494185714294
