model,row_id,mp_id,membership_status
ALIGNN-FF,SAS36K-00169,mp-1008680,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00170,mp-10087,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00171,mp-1008728,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00172,mp-1008786,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00173,mp-1008858,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00174,mp-1008865,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00175,mp-1008874,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00176,mp-1008881,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00177,mp-1008903,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00178,mp-1009077,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00180,mp-1009083,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00181,mp-1009084,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00182,mp-1009085,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00183,mp-1009086,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00184,mp-1009087,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00185,mp-1009088,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00188,mp-1009132,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00189,mp-1009134,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00191,mp-10094,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00192,mp-1009504,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00193,mp-1009543,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00195,mp-1009657,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00196,mp-1009730,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00197,mp-1009733,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00198,mp-1009755,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00199,mp-1009756,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00200,mp-1009770,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00201,mp-10098,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00202,mp-1009834,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00203,mp-1009839,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00204,mp-10106,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00205,mp-1010953,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00206,mp-10112,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00207,mp-10113,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00208,mp-10114,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00209,mp-1011695,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00210,mp-1011696,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00211,mp-1011709,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00212,mp-10118,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00213,mp-1012435,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00214,mp-10125,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00216,mp-1012640,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00217,mp-10129,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00218,mp-10133,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00219,mp-1013525,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00220,mp-1013526,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00221,mp-1013527,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00223,mp-1013548,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00224,mp-1013549,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00225,mp-1013554,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00226,mp-1013557,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00230,mp-1014,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00231,mp-10140,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00232,mp-1014160,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00233,mp-10142,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00235,mp-1014226,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00236,mp-1014227,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00237,mp-1014229,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00238,mp-1014230,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00239,mp-1014231,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00240,mp-1014244,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00241,mp-1014251,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00242,mp-1014252,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00243,mp-1014257,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00244,mp-1014265,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00245,mp-1014303,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00246,mp-10152,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00247,mp-10154,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00248,mp-10161,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00249,mp-1016108,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00251,mp-1016144,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00252,mp-1016154,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00253,mp-1016155,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00255,mp-10162,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00257,mp-1016221,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00258,mp-1016222,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00259,mp-1016227,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00260,mp-1016252,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00261,mp-1016253,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00262,mp-1016270,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00263,mp-1016271,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00265,mp-1016276,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00266,mp-1016277,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00267,mp-1016279,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00268,mp-1016284,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00269,mp-1016285,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00270,mp-1016305,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00271,mp-1016316,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00272,mp-1016323,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00273,mp-1016327,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00274,mp-1016346,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00275,mp-10164,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00276,mp-10165,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00277,mp-10166,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00278,mp-10167,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00279,mp-1017,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00280,mp-1017037,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00281,mp-1017055,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00282,mp-1017082,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00283,mp-1017095,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00284,mp-1017180,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00285,mp-1017184,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00286,mp-1017201,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00287,mp-1017287,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00288,mp-1017288,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00289,mp-1017291,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00290,mp-10173,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00291,mp-1017507,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00292,mp-1017508,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00293,mp-1017509,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00294,mp-1017510,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00296,mp-1017534,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00297,mp-1017540,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00298,mp-1017543,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00299,mp-1017548,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00300,mp-1017552,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00301,mp-1017553,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00302,mp-1017554,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00303,mp-1017556,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00304,mp-1017557,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00305,mp-1017558,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00306,mp-1017559,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00307,mp-1017564,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00308,mp-1017565,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00309,mp-1017567,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00310,mp-1017577,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00311,mp-1017578,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00312,mp-1017579,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00313,mp-1017591,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00314,mp-1017627,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00315,mp-1017628,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00316,mp-1017629,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00317,mp-1017632,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00318,mp-10179,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00319,mp-1017983,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00320,mp-1017985,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00321,mp-1017988,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00322,mp-10180,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00323,mp-1018009,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00324,mp-1018012,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00325,mp-1018019,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00327,mp-1018021,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00328,mp-1018022,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00329,mp-1018024,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00330,mp-1018025,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00331,mp-1018027,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00332,mp-1018028,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00333,mp-1018029,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00334,mp-1018031,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00335,mp-1018032,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00336,mp-1018033,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00337,mp-1018040,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00338,mp-1018045,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00339,mp-1018046,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00341,mp-1018050,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00342,mp-1018051,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00343,mp-1018052,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00344,mp-1018053,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00345,mp-1018054,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00346,mp-1018056,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00347,mp-1018057,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00348,mp-1018059,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00349,mp-1018060,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00350,mp-1018062,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00351,mp-1018063,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00352,mp-1018064,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00354,mp-1018066,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00355,mp-1018068,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00356,mp-1018071,membership_identifiers_unavailable
