matching_tolerance,direction,chemical_system,row_n,rank_within_direction,total_changed_rows
tight,lost_vs_default,P-S-Ti-Tl,1,287,925
tight,lost_vs_default,P-Se-Sn,1,288,925
tight,lost_vs_default,P-Se-Tl-V,1,289,925
tight,lost_vs_default,Pb-Rh-Tm,1,290,925
tight,lost_vs_default,Pb-S,1,291,925
tight,lost_vs_default,Pb-Sb,1,292,925
tight,lost_vs_default,Pb-Te,1,293,925
tight,lost_vs_default,Pd-Sn-Zr,1,294,925
tight,lost_vs_default,Pd-Te,1,295,925
tight,lost_vs_default,O-Y-Zr,1,296,925
tight,lost_vs_default,I-K-Na-Pr,1,297,925
tight,lost_vs_default,I-K-Na-Sb,1,298,925
tight,lost_vs_default,I-K-Pt,1,299,925
tight,lost_vs_default,I-K-Y,1,300,925
tight,lost_vs_default,I-La-O,1,301,925
tight,lost_vs_default,I-Te,1,302,925
tight,lost_vs_default,I-Zr,1,303,925
tight,lost_vs_default,In-K-Mo-Se,1,304,925
tight,lost_vs_default,In-K-P-S,1,305,925
tight,lost_vs_default,Mg-Pt,1,306,925
tight,lost_vs_default,In-P-S-Tl,1,307,925
tight,lost_vs_default,In-Pb,1,308,925
tight,lost_vs_default,In-Pd-Yb,1,309,925
tight,lost_vs_default,In-S,1,310,925
tight,lost_vs_default,In-Sm,1,311,925
tight,lost_vs_default,In-Sn,1,312,925
tight,lost_vs_default,In-Sr,1,313,925
tight,lost_vs_default,In-Tl,1,314,925
tight,lost_vs_default,In-Tm,1,315,925
tight,lost_vs_default,In-Y,1,316,925
tight,lost_vs_default,In-Mo-Rb-Te,1,317,925
tight,lost_vs_default,Hg-I-K-Sb,1,318,925
tight,lost_vs_default,Hg-I-Rb-Sc,1,319,925
tight,lost_vs_default,Hg-Li,1,320,925
tight,lost_vs_default,Hg-Mg,1,321,925
tight,lost_vs_default,Hg-Na,1,322,925
tight,lost_vs_default,Hg-Pb,1,323,925
tight,lost_vs_default,Hg-Pb-Yb,1,324,925
tight,lost_vs_default,Hg-Pd,1,325,925
tight,lost_vs_default,Hg-Rb,1,326,925
tight,lost_vs_default,I-K-Na-Nd,1,327,925
tight,lost_vs_default,Ho-In,1,328,925
tight,lost_vs_default,Ho-Nb-O,1,329,925
tight,lost_vs_default,Ho-O-V-Zn,1,330,925
tight,lost_vs_default,I,1,331,925
tight,lost_vs_default,I-In-K-Na,1,332,925
tight,lost_vs_default,I-In-K-Rb,1,333,925
tight,lost_vs_default,I-In-K-Sb,1,334,925
tight,lost_vs_default,I-In-K-Sc,1,335,925
tight,lost_vs_default,I-In-K-Tl,1,336,925
tight,lost_vs_default,I-In-Rb-Tl,1,337,925
tight,lost_vs_default,Hg-Sm,1,338,925
tight,lost_vs_default,Li-Mo-O-P,1,339,925
tight,lost_vs_default,Li-Mo-S,1,340,925
tight,lost_vs_default,Li-Nb-O,1,341,925
tight,lost_vs_default,Li-Nb-O-Rb-Te,1,342,925
tight,lost_vs_default,Li-Nb-O-Te-W,1,343,925
tight,lost_vs_default,Li-Ni-O-P,1,344,925
tight,lost_vs_default,Li-Ni-Sn,1,345,925
tight,lost_vs_default,Li-O-Sb-Te-W,1,346,925
tight,lost_vs_default,Li-O-Te,1,347,925
tight,lost_vs_default,In-Zn,1,348,925
tight,lost_vs_default,Li-S-Ti,1,349,925
tight,lost_vs_default,Li-Se-Ti,1,350,925
tight,lost_vs_default,Lu-Mg,1,351,925
tight,lost_vs_default,Lu-Nb-O,1,352,925
tight,lost_vs_default,Lu-Pb-Rh,1,353,925
tight,lost_vs_default,Mg-Mn-O-Si,1,354,925
tight,lost_vs_default,Mg-O-Pb,1,355,925
tight,lost_vs_default,Mg-O-Si-Ti,1,356,925
tight,lost_vs_default,Mg-O-Si-V,1,357,925
tight,lost_vs_default,Mg-Pb,1,358,925
tight,lost_vs_default,Li-S-Si-Sn,1,359,925
tight,lost_vs_default,Ir-Zr,1,360,925
tight,lost_vs_default,K,1,361,925
tight,lost_vs_default,K-Mn-O,1,362,925
tight,lost_vs_default,K-Na,1,363,925
tight,lost_vs_default,K-O-Os,1,364,925
tight,lost_vs_default,K-O-Sm-V,1,365,925
tight,lost_vs_default,K-O-V,1,366,925
tight,lost_vs_default,K-Tl,1,367,925
tight,lost_vs_default,La-Li-O-Ti,1,368,925
tight,lost_vs_default,Li-Mn-O-V,1,369,925
tight,lost_vs_default,La-Mn-Si,1,370,925
tight,lost_vs_default,La-Mn-Si-Y,1,371,925
tight,lost_vs_default,La-Nb-O,1,372,925
tight,lost_vs_default,La-Ni-O-Sr-Ta,1,373,925
tight,lost_vs_default,La-Ni-Sn,1,374,925
tight,lost_vs_default,Li-Mn-Nb-O-W,1,375,925
tight,lost_vs_default,Li-Mn-Ni-O,1,376,925
tight,lost_vs_default,Li-Mn-O-S-Sr,1,377,925
tight,lost_vs_default,Li-Mn-O-Sb-W,1,378,925
tight,lost_vs_default,Li-Mn-O-Si,1,379,925
tight,lost_vs_default,La-Mg,1,380,925
tight,lost_vs_default,Ba-C-O,1,381,925
tight,lost_vs_default,Ba-Ca-I,1,382,925
tight,lost_vs_default,Ba-Ca-Mo-O-Sr,1,383,925
tight,lost_vs_default,Ba-Cs-I,1,384,925
tight,lost_vs_default,Ba-Er-Fe-O,1,385,925
tight,lost_vs_default,Ba-F-Mg,1,386,925
tight,lost_vs_default,Ba-F-Sb,1,387,925
tight,lost_vs_default,Ba-La-Mg-Nb-O,1,388,925
tight,lost_vs_default,Ba-La-Mg-O-Ta,1,389,925
tight,lost_vs_default,Cu-O,1,390,925
tight,lost_vs_default,Ba-O,1,391,925
tight,lost_vs_default,Ba-O-Sc,1,392,925
tight,lost_vs_default,Ba-S-Ti,1,393,925
tight,lost_vs_default,Ba-Sb,1,394,925
tight,lost_vs_default,Ba-Tl,1,395,925
tight,lost_vs_default,Be-Co,1,396,925
tight,lost_vs_default,Be-Ir,1,397,925
tight,lost_vs_default,Bi-Br-Hg-K,1,398,925
tight,lost_vs_default,Bi-Br-S,1,399,925
tight,lost_vs_default,Bi-Ca-O,1,400,925
tight,lost_vs_default,Ba-Na-O,1,401,925
tight,lost_vs_default,Au-Li-Tb,1,402,925
tight,lost_vs_default,Au-Li-Y,1,403,925
tight,lost_vs_default,Au-Mg,1,404,925
tight,lost_vs_default,Au-Mn-O,1,405,925
tight,lost_vs_default,Au-Nd-Zn,1,406,925
tight,lost_vs_default,Au-O-P,1,407,925
tight,lost_vs_default,Au-P-S,1,408,925
tight,lost_vs_default,Au-Pd-Zn,1,409,925
tight,lost_vs_default,Au-Sm-Zn,1,410,925
tight,lost_vs_default,Au-Ti,1,411,925
tight,lost_vs_default,Ba-Br-O,1,412,925
tight,lost_vs_default,Au-Yb-Zn,1,413,925
tight,lost_vs_default,B-F-H-N,1,414,925
tight,lost_vs_default,B-H-N,1,415,925
tight,lost_vs_default,B-Li-O,1,416,925
tight,lost_vs_default,B-Mn-O,1,417,925
tight,lost_vs_default,B-O-Sb,1,418,925
tight,lost_vs_default,B-O-Sm,1,419,925
tight,lost_vs_default,B-O-Tm,1,420,925
tight,lost_vs_default,Ba-Bi-Li-O,1,421,925
tight,lost_vs_default,Ba-Bi-N-O,1,422,925
tight,lost_vs_default,Au-Yb,1,423,925
tight,lost_vs_default,Br-Cs-Li,1,424,925
tight,lost_vs_default,Br-Cu,1,425,925
tight,lost_vs_default,Br-Cu-O,1,426,925
tight,lost_vs_default,Br-Cu-O-Te,1,427,925
tight,lost_vs_default,Br-Fe-Se,1,428,925
tight,lost_vs_default,Br-Fe-Te,1,429,925
tight,lost_vs_default,Br-Ga-In-K,1,430,925
tight,lost_vs_default,Br-Ga-Pd,1,431,925
tight,lost_vs_default,Br-Ga-Se,1,432,925
tight,lost_vs_default,Bi-Ce-Rh,1,433,925
tight,lost_vs_default,Br-Ge-Rb,1,434,925
tight,lost_vs_default,Br-H,1,435,925
tight,lost_vs_default,Br-H-O,1,436,925
tight,lost_vs_default,Br-Hg-K-Sb,1,437,925
tight,lost_vs_default,Br-Hg-K-Tl,1,438,925
tight,lost_vs_default,Br-I,1,439,925
tight,lost_vs_default,Br-In-K-Sb,1,440,925
tight,lost_vs_default,Br-In-K-Sc,1,441,925
tight,lost_vs_default,Br-In-K-Tl,1,442,925
tight,lost_vs_default,Br-In-Rb-Sb,1,443,925
tight,lost_vs_default,Br-Gd-La-O,1,444,925
tight,lost_vs_default,Bi-Cl-Cu-K,1,445,925
tight,lost_vs_default,Bi-Cl-In-Rb,1,446,925
tight,lost_vs_default,Bi-Cl-Tl,1,447,925
tight,lost_vs_default,Bi-Cu-S,1,448,925
tight,lost_vs_default,Bi-F,1,449,925
tight,lost_vs_default,Bi-F-In-Rb,1,450,925
tight,lost_vs_default,Bi-F-Li,1,451,925
tight,lost_vs_default,Bi-F-Pb,1,452,925
tight,lost_vs_default,Bi-F-Rb-Tl,1,453,925
tight,lost_vs_default,Bi-Hg-I-K,1,454,925
tight,lost_vs_default,Br-Cs-In-Rb,1,455,925
tight,lost_vs_default,Bi-I-K-Na,1,456,925
tight,lost_vs_default,Bi-In-S,1,457,925
tight,lost_vs_default,Bi-Mg-Sn,1,458,925
tight,lost_vs_default,Bi-O,1,459,925
tight,lost_vs_default,Bi-O-P,1,460,925
tight,lost_vs_default,Bi-O-Pb-V,1,461,925
tight,lost_vs_default,Bi-O-Sr,1,462,925
tight,lost_vs_default,Bi-Sn,1,463,925
tight,lost_vs_default,Br-Cl,1,464,925
tight,lost_vs_default,Br-Cs-Hg,1,465,925
tight,lost_vs_default,Bi-I,1,466,925
tight,lost_vs_default,Ag-Ga-O-S,1,467,925
tight,lost_vs_default,Ag-Ge-Sr,1,468,925
tight,lost_vs_default,Ag-Hg,1,469,925
tight,lost_vs_default,Ag-Ho-Se,1,470,925
tight,lost_vs_default,Ag-Mg,1,471,925
tight,lost_vs_default,Ag-Mg-Zn,1,472,925
tight,lost_vs_default,Ag-Mn-O,1,473,925
tight,lost_vs_default,Ag-O-S,1,474,925
tight,lost_vs_default,Ag-O-W-Zn,1,475,925
tight,lost_vs_default,Au-Ga-Pr,1,476,925
tight,lost_vs_default,Ag-P-S,1,477,925
tight,lost_vs_default,Ag-Sm-Zn,1,478,925
tight,lost_vs_default,Ag-Zn,1,479,925
tight,lost_vs_default,Al-Au,1,480,925
tight,lost_vs_default,Al-Au-Y,1,481,925
tight,lost_vs_default,Al-Ba-Ga-O,1,482,925
tight,lost_vs_default,Al-Ce-Co,1,483,925
tight,lost_vs_default,Al-Ce-Sn,1,484,925
tight,lost_vs_default,Al-Cl-K,1,485,925
tight,lost_vs_default,Al-Cl-K-Tl,1,486,925
tight,lost_vs_default,Ag-O-Y,1,487,925
tight,lost_vs_default,Ag-Au-Zn,1,488,925
tight,lost_vs_default,P-S-Sn,1,489,925
tight,lost_vs_default,Ag-Eu-Si,1,490,925
tight,lost_vs_default,Rh-Sn-V,1,491,925
tight,lost_vs_default,Rb-Te,1,492,925
tight,lost_vs_default,Ag-Au-Cl-K,1,493,925
tight,lost_vs_default,Ag-Bi-I-K,1,494,925
tight,lost_vs_default,Ag-C-O,1,495,925
tight,lost_vs_default,Ag-Cd,1,496,925
tight,lost_vs_default,Ag-Cl-O,1,497,925
tight,lost_vs_default,Ag-Ga,1,498,925
tight,lost_vs_default,Ag-Cr-La-O,1,499,925
tight,lost_vs_default,Ag-Cr-Nb-S,1,500,925
tight,lost_vs_default,Ag-Cr-O-S,1,501,925
tight,lost_vs_default,Ag-Cr-S-Ta,1,502,925
tight,lost_vs_default,Ag-Cs-N-O,1,503,925
tight,lost_vs_default,Ag-Cs-S-Sb,1,504,925
tight,lost_vs_default,Ag-Dy-Se,1,505,925
tight,lost_vs_default,Ti-V,1,506,925
tight,lost_vs_default,Ag-F,1,507,925
tight,lost_vs_default,Ag-Fe-O-S,1,508,925
tight,lost_vs_default,Ag-Cl-Re,1,509,925
tight,lost_vs_default,As-F-H-Hg,1,510,925
tight,lost_vs_default,As-F-N-O,1,511,925
tight,lost_vs_default,As-F-Pb,1,512,925
tight,lost_vs_default,As-F-Rb-Tl,1,513,925
tight,lost_vs_default,As-I-K-Rb,1,514,925
tight,lost_vs_default,As-I-K-Tl,1,515,925
tight,lost_vs_default,As-Li-Se,1,516,925
tight,lost_vs_default,As-P,1,517,925
tight,lost_vs_default,As-Tl,1,518,925
tight,lost_vs_default,Al-Cu,1,519,925
tight,lost_vs_default,Au-Br-K-Tl,1,520,925
tight,lost_vs_default,Au-Br-Te,1,521,925
tight,lost_vs_default,Au-Ca-Ge,1,522,925
tight,lost_vs_default,Au-Ce-Zn,1,523,925
tight,lost_vs_default,Au-Cl,1,524,925
tight,lost_vs_default,Au-Cl-Te,1,525,925
tight,lost_vs_default,Au-Cs-F,1,526,925
tight,lost_vs_default,Au-Cs-Te,1,527,925
