denominator,model_name,label_view,K,K_effective,n_ranked,stable_n,precision_at_k,recall_at_k,stable_yield_at_k,uncertain_fraction_at_k,false_positive_burden_at_k,DAF_at_k,metric_status
D5_full_complete,CHGNet,audit_view,10000,10000,36769,2236,0.2236,0.23569094550437442,0.2236,0.3075,0.7764,0.8666120375250341,ok
D5_full_complete,M3GNet,mp_native,100,100,36769,58,0.58,0.003859976041528018,0.58,0.0,0.42000000000000004,1.4192745907094368,ok
D5_full_complete,M3GNet,mp_native,300,300,36769,159,0.53,0.010581658458671636,0.53,0.0,0.47,1.296923332889658,ok
D5_full_complete,M3GNet,mp_native,500,500,36769,250,0.5,0.016637827765206975,0.5,0.0,0.5,1.2235125781977905,ok
D5_full_complete,M3GNet,mp_native,1000,1000,36769,461,0.461,0.030680154399041662,0.461,0.0,0.5389999999999999,1.128078597098363,ok
D5_full_complete,M3GNet,mp_native,5000,5000,36769,1912,0.3824,0.12724610674830295,0.3824,0.0,0.6175999999999999,0.9357424198056702,ok
D5_full_complete,M3GNet,mp_native,10000,10000,36769,3663,0.3663,0.24377745241581258,0.3663,0.0,0.6336999999999999,0.8963453147877014,ok
D5_full_complete,M3GNet,alexmp20_native,100,100,36769,35,0.35,0.0026331628046945533,0.35,0.0,0.65,0.9681876316581403,ok
D5_full_complete,M3GNet,alexmp20_native,300,300,36769,112,0.37333333333333335,0.00842612097502257,0.37333333333333335,0.0,0.6266666666666667,1.032733473768683,ok
D5_full_complete,M3GNet,alexmp20_native,500,500,36769,189,0.378,0.014219079145350587,0.378,0.0,0.622,1.0456426421907916,ok
D5_full_complete,M3GNet,alexmp20_native,1000,1000,36769,373,0.373,0.02806199217574481,0.373,0.0,0.627,1.031811390309961,ok
D5_full_complete,M3GNet,alexmp20_native,5000,5000,36769,1693,0.3386,0.1273698465242251,0.3386,0.0,0.6614,0.9366523773698466,ok
D5_full_complete,M3GNet,alexmp20_native,10000,10000,36769,3299,0.3299,0.24819440264820944,0.3299,0.0,0.6700999999999999,0.9125859990972015,ok
D5_full_complete,M3GNet,alex_pbe_native,100,100,36769,33,0.33,0.002712254458781951,0.33,0.0,0.6699999999999999,0.9972688419495357,ok
D5_full_complete,M3GNet,alex_pbe_native,300,300,36769,99,0.33,0.008136763376345854,0.33,0.0,0.6699999999999999,0.9972688419495357,ok
D5_full_complete,M3GNet,alex_pbe_native,500,500,36769,169,0.338,0.01389003041012575,0.338,0.0,0.6619999999999999,1.0214450562998276,ok
D5_full_complete,M3GNet,alex_pbe_native,1000,1000,36769,338,0.338,0.0277800608202515,0.338,0.0,0.6619999999999999,1.0214450562998276,ok
D5_full_complete,M3GNet,alex_pbe_native,5000,5000,36769,1558,0.3116,0.1280512862661297,0.3116,0.0,0.6884,0.9416635489438646,ok
D5_full_complete,M3GNet,alex_pbe_native,10000,10000,36769,3034,0.3034,0.24936303114983152,0.3034,0.0,0.6966,0.9168829292348155,ok
D5_full_complete,M3GNet,common_pool,100,100,31872,68,0.68,0.004124711876743904,0.68,0.0,0.31999999999999995,1.3146281693558173,ok
D5_full_complete,M3GNet,common_pool,300,300,31872,185,0.6166666666666667,0.011221642605847385,0.6166666666666667,0.0,0.3833333333333333,1.1921873104452263,ok
D5_full_complete,M3GNet,common_pool,500,500,31872,299,0.598,0.018136600752153342,0.598,0.0,0.402,1.1560994783452627,ok
D5_full_complete,M3GNet,common_pool,1000,1000,31872,553,0.553,0.03354361276234381,0.553,0.0,0.44699999999999995,1.069102025961422,ok
D5_full_complete,M3GNet,common_pool,5000,5000,31872,2520,0.504,0.15285696954992115,0.504,0.0,0.496,0.9743714666990174,ok
D5_full_complete,M3GNet,common_pool,10000,10000,31872,4842,0.4842,0.29370374863520565,0.4842,0.0,0.5158,0.9360925876501275,ok
D5_full_complete,M3GNet,source_union,100,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
