denominator,model_name,label_view,K,metric,value,ci_low_95,ci_high_95,ci_denominator_n,bootstrap_method,metric_status
D5_full_complete,ALIGNN-FF,alexmp20_native,10000,stable_yield@10000,0.3053,0.2962735262618451,0.3143264737381549,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,10000,uncertain_fraction@10000,0.0,0.0,0.0,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,10000,false_positive_burden@10000,0.6947,0.6856735262618451,0.7037264737381549,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,10000,recall@10000,0.2296870297923563,0.22253609618120684,0.23683796340350577,13292.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,10000,DAF@10000,0.844536239843515,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alex_pbe_native,100,precision@100,0.29,0.20106263777241873,0.37893736222758123,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,100,stable_yield@100,0.29,0.20106263777241873,0.37893736222758123,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,100,uncertain_fraction@100,0.0,0.0,0.0,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,100,false_positive_burden@100,0.71,0.6210626377724187,0.7989373622275813,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,100,recall@100,0.002383496342565957,0.001517026653452686,0.0032499660316792282,12167.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,100,DAF@100,0.8763877701980768,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alex_pbe_native,300,precision@300,0.22,0.17312361788704253,0.2668763821129575,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,300,stable_yield@300,0.22,0.17312361788704253,0.2668763821129575,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,300,uncertain_fraction@300,0.0,0.0,0.0,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,300,false_positive_burden@300,0.78,0.7331236178870426,0.8268763821129574,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,300,recall@300,0.005424508917563902,0.004119349962562795,0.00672966787256501,12167.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,300,DAF@300,0.6648458946330238,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alex_pbe_native,500,precision@500,0.238,0.2006718012864269,0.27532819871357306,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,500,stable_yield@500,0.238,0.2006718012864269,0.27532819871357306,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
