cluster,threshold_meV_per_atom,endpoint,K,model,stable_hits_ci_low_95,stable_hits_median,stable_hits_ci_high_95,bootstrap_replicates
chemical_system,50,mp_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
chemical_system,50,mp_matched_pool_coordinate,500,M3GNet,499.0,500.0,500.0,1000
chemical_system,50,mp_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
chemical_system,50,mp_matched_pool_coordinate,1000,ALIGNN-FF,979.0,987.0,993.0,1000
chemical_system,50,mp_matched_pool_coordinate,1000,CHGNet,995.0,998.0,1000.0,1000
chemical_system,50,mp_matched_pool_coordinate,1000,M3GNet,995.0,998.0,1000.0,1000
chemical_system,50,mp_matched_pool_coordinate,1000,MACE-MP,990.975,995.0,999.0,1000
chemical_system,50,mp_source_coordinate,100,ALIGNN-FF,89.0,94.0,98.0,1000
chemical_system,50,mp_source_coordinate,100,CHGNet,90.0,95.0,99.0,1000
chemical_system,50,mp_source_coordinate,100,M3GNet,90.0,95.0,99.0,1000
chemical_system,50,mp_source_coordinate,100,MACE-MP,90.0,96.0,99.0,1000
chemical_system,50,mp_source_coordinate,300,ALIGNN-FF,264.0,275.0,283.0,1000
chemical_system,50,mp_source_coordinate,300,CHGNet,264.0,274.0,283.0,1000
chemical_system,50,mp_source_coordinate,300,M3GNet,268.0,277.0,285.0,1000
chemical_system,50,mp_source_coordinate,300,MACE-MP,263.0,273.0,283.0,1000
chemical_system,50,mp_source_coordinate,500,ALIGNN-FF,448.0,461.0,473.0,1000
chemical_system,50,mp_source_coordinate,500,CHGNet,450.0,462.0,474.0,1000
chemical_system,50,mp_source_coordinate,500,M3GNet,451.0,463.0,474.0,1000
chemical_system,50,mp_source_coordinate,500,MACE-MP,448.0,460.0,471.0,1000
chemical_system,50,mp_source_coordinate,1000,ALIGNN-FF,896.0,914.0,932.0,1000
chemical_system,50,mp_source_coordinate,1000,CHGNet,912.0,929.0,945.0,1000
chemical_system,50,mp_source_coordinate,1000,M3GNet,918.975,935.0,950.0,1000
chemical_system,50,mp_source_coordinate,1000,MACE-MP,920.0,936.0,950.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,494.0,499.0,500.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,500,M3GNet,500.0,500.0,500.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,962.0,973.0,983.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,1000,CHGNet,998.0,1000.0,1000.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,1000,M3GNet,996.0,999.0,1000.0,1000
equivalence_class_id,0,alex_pbe_matched_pool_coordinate,1000,MACE-MP,992.0,996.0,999.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,100,ALIGNN-FF,33.0,43.0,54.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,100,CHGNet,35.0,46.0,57.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,100,M3GNet,37.0,47.0,58.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,100,MACE-MP,35.0,46.0,56.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,300,ALIGNN-FF,138.0,154.0,173.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,300,CHGNet,136.975,153.0,170.02499999999998,1000
equivalence_class_id,0,alex_pbe_source_coordinate,300,M3GNet,144.0,161.0,179.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,300,MACE-MP,137.0,154.0,174.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,500,ALIGNN-FF,253.0,276.0,299.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,500,CHGNet,254.0,275.0,301.025,1000
equivalence_class_id,0,alex_pbe_source_coordinate,500,M3GNet,262.975,284.0,309.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,500,MACE-MP,261.0,282.0,307.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,1000,ALIGNN-FF,521.0,552.0,584.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,1000,CHGNet,543.0,575.0,607.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,1000,M3GNet,571.0,604.0,635.0,1000
equivalence_class_id,0,alex_pbe_source_coordinate,1000,MACE-MP,565.0,597.0,629.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,100,ALIGNN-FF,59.0,70.0,79.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,100,CHGNet,59.0,69.0,78.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,100,M3GNet,61.0,70.0,80.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,100,MACE-MP,59.0,70.0,80.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,300,ALIGNN-FF,172.0,189.0,205.02499999999998,1000
equivalence_class_id,0,alexmp20_source_coordinate,300,CHGNet,172.0,189.0,206.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,300,M3GNet,178.975,195.0,211.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,300,MACE-MP,172.0,190.0,208.02499999999998,1000
equivalence_class_id,0,alexmp20_source_coordinate,500,ALIGNN-FF,296.975,319.0,339.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,500,CHGNet,293.975,314.0,336.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,500,M3GNet,302.0,322.0,343.025,1000
equivalence_class_id,0,alexmp20_source_coordinate,500,MACE-MP,300.0,321.0,342.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,1000,ALIGNN-FF,582.975,614.0,644.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,1000,CHGNet,613.0,645.0,675.0,1000
equivalence_class_id,0,alexmp20_source_coordinate,1000,M3GNet,645.975,676.0,705.025,1000
equivalence_class_id,0,alexmp20_source_coordinate,1000,MACE-MP,636.0,668.0,697.025,1000
equivalence_class_id,0,mp_matched_pool_coordinate,100,ALIGNN-FF,93.0,97.0,100.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,100,CHGNet,93.0,97.0,100.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,100,M3GNet,93.0,97.0,100.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,100,MACE-MP,93.0,97.0,100.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,300,ALIGNN-FF,289.0,294.0,298.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,300,CHGNet,288.975,294.0,298.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,300,M3GNet,289.0,294.0,298.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,300,MACE-MP,288.975,294.0,298.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,500,ALIGNN-FF,471.0,482.0,491.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,500,CHGNet,472.0,483.5,492.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,500,M3GNet,475.0,487.0,494.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,500,MACE-MP,476.0,487.0,494.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,1000,ALIGNN-FF,912.975,929.5,947.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,1000,CHGNet,957.975,971.0,982.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,1000,M3GNet,960.0,973.0,983.0,1000
equivalence_class_id,0,mp_matched_pool_coordinate,1000,MACE-MP,958.0,971.0,982.0,1000
equivalence_class_id,0,mp_source_coordinate,100,ALIGNN-FF,54.0,64.0,74.0,1000
equivalence_class_id,0,mp_source_coordinate,100,CHGNet,55.0,65.0,75.0,1000
equivalence_class_id,0,mp_source_coordinate,100,M3GNet,56.0,66.0,75.0,1000
equivalence_class_id,0,mp_source_coordinate,100,MACE-MP,55.0,65.0,75.0,1000
equivalence_class_id,0,mp_source_coordinate,300,ALIGNN-FF,191.0,206.0,223.0,1000
equivalence_class_id,0,mp_source_coordinate,300,CHGNet,190.0,205.0,220.0,1000
equivalence_class_id,0,mp_source_coordinate,300,M3GNet,196.0,210.0,225.0,1000
equivalence_class_id,0,mp_source_coordinate,300,MACE-MP,190.0,206.0,221.0,1000
equivalence_class_id,0,mp_source_coordinate,500,ALIGNN-FF,335.0,354.0,373.0,1000
equivalence_class_id,0,mp_source_coordinate,500,CHGNet,332.0,352.0,372.0,1000
equivalence_class_id,0,mp_source_coordinate,500,M3GNet,336.0,356.0,377.0,1000
equivalence_class_id,0,mp_source_coordinate,500,MACE-MP,336.0,357.0,378.0,1000
equivalence_class_id,0,mp_source_coordinate,1000,ALIGNN-FF,679.975,708.0,737.0,1000
equivalence_class_id,0,mp_source_coordinate,1000,CHGNet,700.0,728.0,756.0,1000
equivalence_class_id,0,mp_source_coordinate,1000,M3GNet,725.975,753.0,781.0,1000
equivalence_class_id,0,mp_source_coordinate,1000,MACE-MP,730.0,758.0,786.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,498.0,500.0,500.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,500,M3GNet,500.0,500.0,500.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,964.0,975.0,985.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,1000,CHGNet,998.0,1000.0,1000.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,1000,M3GNet,996.0,999.0,1000.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,1000,MACE-MP,992.0,996.0,999.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,100,ALIGNN-FF,61.0,72.0,81.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,100,CHGNet,62.0,72.0,82.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,100,M3GNet,63.0,73.0,82.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,100,MACE-MP,63.0,73.0,82.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,300,ALIGNN-FF,194.975,211.0,227.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,300,CHGNet,198.0,215.0,231.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,300,M3GNet,203.0,220.0,235.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,300,MACE-MP,195.0,213.0,231.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,500,ALIGNN-FF,341.0,362.0,381.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,500,CHGNet,342.0,362.0,383.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,500,M3GNet,346.975,366.0,386.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,500,MACE-MP,338.975,358.5,379.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,1000,ALIGNN-FF,672.0,702.0,733.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,1000,CHGNet,700.975,731.0,761.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,1000,M3GNet,721.0,751.0,780.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,1000,MACE-MP,722.0,750.0,780.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,100,ALIGNN-FF,64.0,74.0,84.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,100,CHGNet,63.0,73.0,83.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,100,M3GNet,64.0,74.0,83.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,100,MACE-MP,64.0,74.0,83.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,300,ALIGNN-FF,198.0,214.0,229.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,300,CHGNet,198.0,215.0,230.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,300,M3GNet,204.0,220.0,234.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,300,MACE-MP,200.0,217.0,232.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,500,ALIGNN-FF,342.975,363.0,382.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,500,CHGNet,341.0,361.0,381.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,500,M3GNet,345.0,364.0,384.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,500,MACE-MP,342.0,362.0,380.025,1000
equivalence_class_id,10,alexmp20_source_coordinate,1000,ALIGNN-FF,684.0,713.0,742.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,1000,CHGNet,702.0,732.0,761.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,1000,M3GNet,730.0,758.0,786.025,1000
equivalence_class_id,10,alexmp20_source_coordinate,1000,MACE-MP,727.0,756.0,783.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,300,ALIGNN-FF,296.0,299.0,300.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,300,CHGNet,294.0,298.0,300.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,300,M3GNet,295.0,298.0,300.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,300,MACE-MP,295.0,299.0,300.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,500,ALIGNN-FF,491.0,497.0,500.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,500,CHGNet,492.0,497.0,500.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,500,M3GNet,493.0,497.0,500.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,500,MACE-MP,493.0,497.0,500.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,1000,ALIGNN-FF,946.0,959.0,971.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,1000,CHGNet,985.0,991.0,996.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,1000,M3GNet,986.0,992.0,997.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,1000,MACE-MP,983.0,990.0,995.0,1000
equivalence_class_id,10,mp_source_coordinate,100,ALIGNN-FF,68.0,77.0,85.0,1000
equivalence_class_id,10,mp_source_coordinate,100,CHGNet,68.0,77.0,85.0,1000
equivalence_class_id,10,mp_source_coordinate,100,M3GNet,69.0,78.0,86.0,1000
equivalence_class_id,10,mp_source_coordinate,100,MACE-MP,68.0,77.0,85.0,1000
equivalence_class_id,10,mp_source_coordinate,300,ALIGNN-FF,214.0,229.0,242.0,1000
equivalence_class_id,10,mp_source_coordinate,300,CHGNet,214.0,228.0,242.0,1000
equivalence_class_id,10,mp_source_coordinate,300,M3GNet,217.0,231.0,246.0,1000
equivalence_class_id,10,mp_source_coordinate,300,MACE-MP,213.0,228.0,242.0,1000
equivalence_class_id,10,mp_source_coordinate,500,ALIGNN-FF,377.0,395.0,413.0,1000
equivalence_class_id,10,mp_source_coordinate,500,CHGNet,374.0,393.0,411.0,1000
equivalence_class_id,10,mp_source_coordinate,500,M3GNet,377.0,395.0,414.0,1000
equivalence_class_id,10,mp_source_coordinate,500,MACE-MP,376.975,394.0,412.0,1000
equivalence_class_id,10,mp_source_coordinate,1000,ALIGNN-FF,756.0,786.0,811.0,1000
equivalence_class_id,10,mp_source_coordinate,1000,CHGNet,776.0,803.0,827.0,1000
equivalence_class_id,10,mp_source_coordinate,1000,M3GNet,794.975,819.0,843.0,1000
equivalence_class_id,10,mp_source_coordinate,1000,MACE-MP,800.0,826.0,848.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,500.0,500.0,500.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,500,M3GNet,500.0,500.0,500.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,977.0,985.0,992.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,1000,CHGNet,1000.0,1000.0,1000.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,1000,M3GNet,997.0,999.0,1000.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,1000,MACE-MP,995.0,998.0,1000.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,100,ALIGNN-FF,75.0,85.0,92.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,100,CHGNet,76.0,85.0,92.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,100,M3GNet,77.0,85.0,92.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,100,MACE-MP,77.0,86.0,92.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,300,ALIGNN-FF,219.0,235.0,249.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,300,CHGNet,222.0,237.0,251.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,300,M3GNet,226.0,241.0,254.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,300,MACE-MP,221.0,236.0,251.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,500,ALIGNN-FF,382.0,401.0,420.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,500,CHGNet,386.0,404.0,422.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,500,M3GNet,396.0,413.0,431.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,500,MACE-MP,388.975,406.0,424.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,1000,ALIGNN-FF,780.0,807.0,835.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,1000,CHGNet,805.0,831.0,854.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,1000,M3GNet,820.0,844.0,866.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,1000,MACE-MP,819.0,843.0,866.025,1000
equivalence_class_id,25,alexmp20_source_coordinate,100,ALIGNN-FF,76.975,86.0,93.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,100,CHGNet,75.975,84.0,91.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,100,M3GNet,76.0,84.0,91.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,100,MACE-MP,75.975,85.0,91.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,300,ALIGNN-FF,222.0,236.0,250.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,300,CHGNet,224.0,239.0,254.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,300,M3GNet,228.0,242.0,255.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,300,MACE-MP,225.0,240.0,255.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,500,ALIGNN-FF,383.0,401.0,418.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,500,CHGNet,384.0,402.0,420.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,500,M3GNet,391.0,408.0,425.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,500,MACE-MP,389.0,407.0,424.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,1000,ALIGNN-FF,783.0,809.0,835.025,1000
equivalence_class_id,25,alexmp20_source_coordinate,1000,CHGNet,803.975,827.0,851.025,1000
equivalence_class_id,25,alexmp20_source_coordinate,1000,M3GNet,821.0,844.0,866.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,1000,MACE-MP,820.0,843.0,866.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,300,ALIGNN-FF,296.0,299.0,300.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,300,CHGNet,294.0,298.0,300.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,300,M3GNet,295.0,298.0,300.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,300,MACE-MP,295.0,299.0,300.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,500,ALIGNN-FF,492.0,497.0,500.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,500,CHGNet,492.0,497.0,500.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,500,M3GNet,493.0,497.0,500.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,500,MACE-MP,493.0,497.0,500.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,1000,ALIGNN-FF,959.0,971.0,980.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,1000,CHGNet,988.0,993.0,997.025,1000
equivalence_class_id,25,mp_matched_pool_coordinate,1000,M3GNet,987.0,993.0,997.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,1000,MACE-MP,986.0,992.0,996.0,1000
equivalence_class_id,25,mp_source_coordinate,100,ALIGNN-FF,79.0,87.0,93.0,1000
equivalence_class_id,25,mp_source_coordinate,100,CHGNet,79.0,86.0,93.0,1000
equivalence_class_id,25,mp_source_coordinate,100,M3GNet,79.0,87.0,93.0,1000
equivalence_class_id,25,mp_source_coordinate,100,MACE-MP,78.0,87.0,93.0,1000
equivalence_class_id,25,mp_source_coordinate,300,ALIGNN-FF,235.975,249.0,262.0,1000
equivalence_class_id,25,mp_source_coordinate,300,CHGNet,235.0,248.0,261.0,1000
equivalence_class_id,25,mp_source_coordinate,300,M3GNet,238.0,251.0,264.0,1000
equivalence_class_id,25,mp_source_coordinate,300,MACE-MP,233.0,247.0,260.0,1000
equivalence_class_id,25,mp_source_coordinate,500,ALIGNN-FF,407.0,424.0,438.025,1000
equivalence_class_id,25,mp_source_coordinate,500,CHGNet,405.0,422.0,438.0,1000
equivalence_class_id,25,mp_source_coordinate,500,M3GNet,413.0,428.0,443.0,1000
equivalence_class_id,25,mp_source_coordinate,500,MACE-MP,409.0,425.0,440.025,1000
equivalence_class_id,25,mp_source_coordinate,1000,ALIGNN-FF,826.975,851.0,875.0,1000
equivalence_class_id,25,mp_source_coordinate,1000,CHGNet,846.0,867.0,887.0,1000
equivalence_class_id,25,mp_source_coordinate,1000,M3GNet,854.0,876.0,896.0,1000
equivalence_class_id,25,mp_source_coordinate,1000,MACE-MP,857.0,879.0,899.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,500.0,500.0,500.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,500,M3GNet,500.0,500.0,500.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,988.0,993.0,998.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,1000,CHGNet,1000.0,1000.0,1000.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,1000,M3GNet,1000.0,1000.0,1000.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,1000,MACE-MP,995.0,998.0,1000.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,100,ALIGNN-FF,82.0,90.5,96.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,100,CHGNet,83.0,90.0,95.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,100,M3GNet,84.0,90.0,95.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,100,MACE-MP,83.0,91.0,96.0,1000
