cluster,threshold_meV_per_atom,endpoint,K,model,winner_frequency,winner_equivalent_replicates,bootstrap_replicates
chemical_system,10,alexmp20_source_coordinate,300,ALIGNN-FF,0.03216666666666666,32.166666666666664,1000
chemical_system,10,alexmp20_source_coordinate,300,CHGNet,0.0515,51.5,1000
chemical_system,10,alexmp20_source_coordinate,300,M3GNet,0.7846666666666666,784.6666666666666,1000
chemical_system,10,alexmp20_source_coordinate,300,MACE-MP,0.13166666666666665,131.66666666666666,1000
chemical_system,10,alexmp20_source_coordinate,500,ALIGNN-FF,0.3023333333333333,302.3333333333333,1000
chemical_system,10,alexmp20_source_coordinate,500,CHGNet,0.1525,152.5,1000
chemical_system,10,alexmp20_source_coordinate,500,M3GNet,0.45766666666666667,457.6666666666667,1000
chemical_system,10,alexmp20_source_coordinate,500,MACE-MP,0.0875,87.5,1000
chemical_system,10,alexmp20_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,10,alexmp20_source_coordinate,1000,CHGNet,0.0,0.0,1000
chemical_system,10,alexmp20_source_coordinate,1000,M3GNet,0.669,669.0,1000
chemical_system,10,alexmp20_source_coordinate,1000,MACE-MP,0.331,331.0,1000
chemical_system,10,mp_matched_pool_coordinate,100,ALIGNN-FF,0.25,250.0,1000
chemical_system,10,mp_matched_pool_coordinate,100,CHGNet,0.25,250.0,1000
chemical_system,10,mp_matched_pool_coordinate,100,M3GNet,0.25,250.0,1000
chemical_system,10,mp_matched_pool_coordinate,100,MACE-MP,0.25,250.0,1000
chemical_system,10,mp_matched_pool_coordinate,300,ALIGNN-FF,0.4075833333333333,407.5833333333333,1000
chemical_system,10,mp_matched_pool_coordinate,300,CHGNet,0.12125,121.25,1000
chemical_system,10,mp_matched_pool_coordinate,300,M3GNet,0.17908333333333334,179.08333333333334,1000
chemical_system,10,mp_matched_pool_coordinate,300,MACE-MP,0.2920833333333333,292.0833333333333,1000
chemical_system,10,mp_matched_pool_coordinate,500,ALIGNN-FF,0.2925,292.5,1000
chemical_system,10,mp_matched_pool_coordinate,500,CHGNet,0.13033333333333336,130.33333333333334,1000
chemical_system,10,mp_matched_pool_coordinate,500,M3GNet,0.2771666666666667,277.1666666666667,1000
chemical_system,10,mp_matched_pool_coordinate,500,MACE-MP,0.3,300.0,1000
chemical_system,10,mp_matched_pool_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,10,mp_matched_pool_coordinate,1000,CHGNet,0.3625,362.5,1000
chemical_system,10,mp_matched_pool_coordinate,1000,M3GNet,0.5685,568.5,1000
chemical_system,10,mp_matched_pool_coordinate,1000,MACE-MP,0.069,69.0,1000
chemical_system,10,mp_source_coordinate,100,ALIGNN-FF,0.22066666666666665,220.66666666666666,1000
chemical_system,10,mp_source_coordinate,100,CHGNet,0.2045,204.5,1000
chemical_system,10,mp_source_coordinate,100,M3GNet,0.42283333333333334,422.8333333333333,1000
