row_id,formula,chemical_system,source_native_mp_ehull,source_native_alex_pbe_ehull,source_native_mp_label,source_native_alex_pbe_label,discordant_zero_mev,mp_ehull_mev,alexandria_ehull_mev
SAS36K-00144,CuI,Cu-I,0.058090902500001,0.06466758,False,False,False,58.090902500001,64.66758
SAS36K-00145,CrNi3,Cr-Ni,0.0401541225,0.0044644424,False,False,False,40.1541225,4.4644424
SAS36K-00146,CrNi3,Cr-Ni,0.007950109999999,0.01215127,False,False,False,7.950109999999,12.15127
SAS36K-00147,CrCo2Si,Co-Cr-Si,0.018480944374999,0.04017135,False,False,False,18.480944374998998,40.171350000000004
SAS36K-00148,Co3W,Co-W,0.147030472499999,0.036488775,False,False,False,147.030472499999,36.488775000000004
SAS36K-00149,Co3Mo,Co-Mo,0.184290395000001,0.050050773,False,False,False,184.29039500000098,50.050773
SAS36K-00150,CrCo3,Co-Cr,0.155228284999999,0.033356264,False,False,False,155.228284999999,33.356263999999996
SAS36K-00151,Co3Ni,Co-Ni,0.015651018749998,0.027432133,False,False,False,15.651018749998,27.432133
SAS36K-00152,BW,B-W,0.014054896250002,0.013050495,False,False,False,14.054896250002,13.050495
SAS36K-00153,BiPd,Bi-Pd,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00154,BrCl,Br-Cl,0.0006782575,0.0,False,True,True,0.6782575,0.0
SAS36K-00155,BaO,Ba-O,0.018888297499998,0.02599393,False,False,False,18.888297499998,25.99393
SAS36K-00156,BaPd,Ba-Pd,0.005573382499999,0.0008090525,False,False,False,5.573382499999,0.8090525000000001
SAS36K-00157,BaGaSiH,Ba-Ga-H-Si,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00158,BaGaCu2,Ba-Cu-Ga,0.0,0.014147658,True,False,True,0.0,14.147658
SAS36K-00159,B2AsP,As-B-P,0.067852859750001,0.066950254,False,False,False,67.85285975000099,66.950254
SAS36K-00160,AlVFeCo,Al-Co-Fe-V,0.029393292499996,0.026548862,False,False,False,29.393292499996,26.548862
SAS36K-00161,AlGaN2,Al-Ga-N,0.014647899999999,0.015643587,False,False,False,14.647899999999,15.643587
SAS36K-00162,BP,B-P,0.014076364999999,0.01044417,False,False,False,14.076364999998999,10.44417
SAS36K-00163,TmTlTe2,Te-Tl-Tm,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00164,ZrTi2,Ti-Zr,0.03777308388889,0.033350706,False,False,False,37.77308388889,33.350706
SAS36K-00165,YSF,F-S-Y,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00166,YbAg2,Ag-Yb,0.0,0.08171079,True,False,True,0.0,81.71079
SAS36K-00167,YBiPd,Bi-Pd-Y,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00168,V2C,C-V,0.001838804166666,0.02018696,False,False,False,1.838804166666,20.18696
SAS36K-00169,TiGePt,Ge-Pt-Ti,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00170,CeScSi,Ce-Sc-Si,0.067718821888888,0.06714126,False,False,False,67.718821888888,67.14125999999999
SAS36K-00171,Ni,Ni,0.11925923,0.10728889,False,False,False,119.25922999999999,107.28889
SAS36K-00172,MgTe,Mg-Te,0.068602424999999,0.064798996,False,False,False,68.602424999999,64.798996
SAS36K-00173,NdBiPd,Bi-Nd-Pd,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00174,NdCd2,Cd-Nd,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00175,MnCoTe,Co-Mn-Te,0.035686802916664,0.033706147,False,False,False,35.686802916664,33.706147
SAS36K-00176,MgNiH,H-Mg-Ni,0.038379599189814,0.04129961,False,False,False,38.379599189814,41.29961
SAS36K-00177,MgAgSb,Ag-Mg-Sb,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00178,FeH,Fe-H,0.0,0.01507849,True,False,True,0.0,15.07849
SAS36K-00179,MgSnAs2,As-Mg-Sn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00180,MgSnP2,Mg-P-Sn,0.010045734249999,0.008577744,False,False,False,10.045734249998999,8.577744
SAS36K-00181,BeSnAs2,As-Be-Sn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00182,BeSiP2,Be-P-Si,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00183,BeSnP2,Be-P-Sn,0.021911295937499,0.020059502,False,False,False,21.911295937499,20.059502
SAS36K-00184,BeSiAs2,As-Be-Si,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00185,BeGeAs2,As-Be-Ge,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00186,KV(CuSe2)2,Cu-K-Se-V,0.000778245624999,0.0002680773,False,False,False,0.7782456249990001,0.2680773
SAS36K-00187,MnN,Mn-N,0.015085967812499,0.0027876818,False,False,False,15.085967812499002,2.7876818
SAS36K-00188,HoBiPd,Bi-Ho-Pd,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00189,MnFe,Fe-Mn,0.09255887603448,0.043522615,False,False,False,92.55887603448,43.522615
SAS36K-00190,KCu4Se3,Cu-K-Se,0.0144932428125,0.017772723,False,False,False,14.4932428125,17.772723
SAS36K-00191,Tm5(ReO6)2,O-Re-Tm,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00192,EuZnGe,Eu-Ge-Zn,0.025009236666665,0.024066044,False,False,False,25.009236666665,24.066044
SAS36K-00193,DyBiPd,Bi-Dy-Pd,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00194,CoTe2,Co-Te,0.019206191666661,0.0013030556,False,False,False,19.206191666661002,1.3030556
SAS36K-00195,CaN2,Ca-N,0.0,0.0112822335,True,False,True,0.0,11.2822335
SAS36K-00196,Ca2Sn,Ca-Sn,0.010972289166666,0.033071775,False,False,False,10.972289166666,33.071774999999995
SAS36K-00197,Ca2Si,Ca-Si,0.0,0.01528766,True,False,True,0.0,15.287659999999999
SAS36K-00198,Ca2Ge,Ca-Ge,0.0,0.01782007,True,False,True,0.0,17.82007
SAS36K-00199,Ca2Pb,Ca-Pb,0.014137890833334,0.039574225,False,False,False,14.137890833334,39.574225
SAS36K-00200,RuN,N-Ru,0.079167312499997,0.10914154,False,False,False,79.16731249999701,109.14153999999999
SAS36K-00201,YGeAu,Au-Ge-Y,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00202,Al2Ru,Al-Ru,0.019733673333332,0.033754557,False,False,False,19.733673333332,33.754557
SAS36K-00203,TbAl,Al-Tb,0.041335158125001,0.020932514,False,False,False,41.335158125001,20.932513999999998
