cutoff_mev_atom,source_pair,stratum_type,stratum,n,chemical_system_n,conflict_n,conflict_fraction,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_unit,n_bootstrap,bootstrap_seed,evidence_scope
10,MP--official_Alexandria_PBE,element_count,unary,120,61,25,0.20833333333333334,0.14035087719298245,0.2796610169491525,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--official_Alexandria_PBE,element_count,binary,7259,1975,1102,0.15181154428984708,0.14015460461223755,0.16403081150753587,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--official_Alexandria_PBE,element_count,ternary,22108,12061,3060,0.1384114347747422,0.132751055444006,0.14392023213273322,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--official_Alexandria_PBE,element_count,quaternary_or_higher,7315,5264,699,0.09555707450444292,0.08723660303759825,0.10393568032756742,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--official_Alexandria_PBE,element_family,transition_metal_present,27596,14434,3722,0.13487461951007393,0.12973653221855627,0.1401934515116764,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,1993,0.14890914524805737,0.1421490095110909,0.15530074408761055,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,908,0.0975504941985389,0.089014620583697,0.1065218462259539,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--official_Alexandria_PBE,element_family,halogen_present,4954,2810,648,0.1308033911990311,0.11387736563373223,0.14911061570204548,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,overall,all,36802,19361,3315,0.09007662627031139,0.0867209955693296,0.09342176539847834,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,element_count,unary,120,61,23,0.19166666666666668,0.12698412698412698,0.25600495867768586,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,element_count,binary,7259,1975,567,0.0781099324975892,0.07077423719712209,0.08546375563762354,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,element_count,ternary,22108,12061,2045,0.09250045232495024,0.08820229457268712,0.09692111405475287,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,element_count,quaternary_or_higher,7315,5264,680,0.09295967190704033,0.0848177792284183,0.10161804982738032,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,element_family,transition_metal_present,27596,14434,2428,0.08798376576315409,0.08412021978925494,0.09197095703315201,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,1315,0.09825164375373581,0.09270815000926269,0.10367286947496236,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,881,0.09464976364417706,0.0862200579099763,0.10340606428767118,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,alex-mp-20--official_Alexandria_PBE,element_family,halogen_present,4954,2810,540,0.10900282599919257,0.09561168453405727,0.12329405429779486,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--alex-mp-20,overall,all,36802,19361,3923,0.10659746752893864,0.10272337278428945,0.11055443020265751,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--alex-mp-20,element_count,unary,120,61,28,0.23333333333333334,0.15595766280643708,0.32075471698113206,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--alex-mp-20,element_count,binary,7259,1975,859,0.11833585893373742,0.1081366037570417,0.12914803789942206,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
