reduced_formula,official_alexandria_formula_prefilter_candidates
Cs2NaPrI6,3
Cs2NaRhF6,2
Cs2NaRuF6,1
Cs2NaSbBr6,3
Cs2NaSbCl6,3
Cs2NaSbF6,1
Cs2NaSbI6,2
Cs2NaScBr6,4
Cs2NaScCl6,4
Cs2NaScF6,1
Cs2NaScI6,4
Cs2NaSmCl6,4
Cs2NaSmF6,1
Cs2NaSrF6,1
Cs2NaTaCl6,1
Cs2NaTbCl6,4
Cs2NaTbF6,1
Cs2NaTlBr6,1
Cs2NaTlCl6,2
Cs2NaTlF6,2
Cs2NaTlI6,1
Cs2NaTmCl6,5
Cs2NaVF6,2
Cs2NaVO4,3
Cs2NaYBr6,4
Cs2NaYCl6,4
Cs2NaYF6,1
Cs2NaYI6,5
Cs2NaYbCl6,1
Cs2NbAgS4,2
Cs2NbAgSe4,2
Cs2NbCuSe4,2
Cs2NbF6,4
Cs2NdAgBr6,1
Cs2NdAgCl6,1
Cs2NdAgF6,1
Cs2NdAgI6,2
Cs2NdCuBr6,1
Cs2NdCuI6,2
Cs2Ni3S4,2
Cs2Ni3Se4,2
Cs2NiAs2,2
Cs2NiF6,6
Cs2NiO2,3
Cs2O,11
Cs2O2,15
Cs2O3,6
Cs2P2Pd,2
Cs2P3,1
Cs2PSe5,2
Cs2Pb(ICl)2,2
Cs2Pb2O3,3
Cs2PbBr6,2
Cs2PbCl6,4
Cs2PbO2,4
Cs2PbO3,2
Cs2Pd(IBr2)2,2
Cs2Pd(ICl2)2,1
Cs2Pd3S4,2
Cs2Pd3Se4,1
Cs2PdBr6,3
Cs2PdC2,1
Cs2PdCl4,3
Cs2PdCl6,2
Cs2PdF6,4
Cs2PdI6,3
Cs2PrAgCl6,1
Cs2PrAgF6,1
Cs2PrAgI6,2
Cs2PrCuBr6,2
Cs2PrCuCl6,1
Cs2PrCuI6,2
Cs2PrF6,4
Cs2Pt,4
Cs2Pt3S4,1
Cs2Pt3Se4,1
Cs2PtBr6,3
Cs2PtC2,1
Cs2PtCl4,3
Cs2PtCl6,2
Cs2PtF6,4
Cs2PtI6,3
Cs2RbAlBr6,2
Cs2RbAlCl6,1
Cs2RbAlF6,1
Cs2RbAlI6,2
Cs2RbAsBr6,2
Cs2RbAsCl6,2
Cs2RbAsF6,1
Cs2RbAsI6,2
Cs2RbAuF6,2
Cs2RbBiBr6,2
Cs2RbBiCl6,3
Cs2RbBiF6,3
Cs2RbBiI6,2
Cs2RbCeCl6,2
Cs2RbCuF6,1
Cs2RbDyCl6,3
Cs2RbErCl6,3
Cs2RbEuCl6,1
Cs2RbFeF6,1
Cs2RbGaBr6,1
Cs2RbGaCl6,2
Cs2RbGaF6,3
Cs2RbGdCl6,2
Cs2RbInBr6,3
Cs2RbInCl6,4
Cs2RbInF6,3
Cs2RbInI6,2
Cs2RbIrF6,2
Cs2RbLaCl6,2
Cs2RbLuCl6,2
Cs2RbNbF6,1
Cs2RbNdCl6,2
Cs2RbPbF6,3
Cs2RbPdF6,2
Cs2RbPrCl6,2
Cs2RbRuF6,2
Cs2RbSbBr6,2
Cs2RbSbCl6,2
Cs2RbSbF6,2
Cs2RbSbI6,2
Cs2RbScBr6,4
Cs2RbScCl6,2
Cs2RbScF6,2
Cs2RbScI6,2
Cs2RbSmCl6,3
Cs2RbTbCl6,4
Cs2RbTlBr6,2
Cs2RbTlCl6,4
Cs2RbTlF6,2
Cs2RbTmCl6,3
Cs2RbYBr6,3
Cs2RbYCl6,3
Cs2RbYF6,2
Cs2RbYI6,3
Cs2RbZrOF5,1
Cs2ReCl6,4
Cs2ReF6,6
Cs2RhF6,6
Cs2S,6
Cs2S3,2
Cs2Sb2Pd,4
Cs2Sb2Pt,4
Cs2SbAuBr6,1
Cs2SbAuCl6,1
Cs2SbAuI6,1
Cs2SbBr6,3
Cs2SbCl6,3
Cs2SbF5,4
Cs2ScAgBr6,2
Cs2ScAgCl6,3
Cs2ScAgF6,1
Cs2ScAgI6,3
Cs2ScCuCl6,2
Cs2ScCuF6,2
Cs2ScHgBr6,1
Cs2ScHgCl6,1
Cs2ScHgI6,1
Cs2ScInBr6,3
Cs2ScInCl6,2
Cs2ScInF6,1
Cs2ScInI6,3
Cs2ScTlBr6,4
Cs2ScTlCl6,4
Cs2ScTlF6,2
Cs2ScTlI6,4
Cs2Se,10
Cs2Se3,5
Cs2SeCl6,1
Cs2Si(HO2)2,1
Cs2SiAs2,4
Cs2SiB4O9,2
Cs2SiF6,3
Cs2SiP2,3
Cs2SiS3,3
Cs2SiSe4,1
Cs2SmCuCl6,1
Cs2Sn(AuS2)2,2
Cs2Sn2Hg3S8,3
Cs2SnAs2,3
Cs2SnBr6,4
Cs2SnCl6,4
Cs2SnF6,10
Cs2SnI6,3
Cs2SnO3,2
Cs2SnSe3,3
Cs2TaAgS4,2
Cs2TaCl6,2
Cs2TbAuCl6,1
Cs2TbCuCl6,2
Cs2TbO3,2
Cs2Te,8
Cs2Te3,7
Cs2Te5,2
Cs2TeBr6,2
Cs2TeCl6,2
Cs2TeI6,3
Cs2TeO3,2
Cs2TeOF4,1
Cs2Ti(AgS2)2,1
Cs2Ti(CuSe2)2,1
Cs2Ti(WO4)3,1
Cs2TiCl6,5
Cs2TiI6,3
Cs2TiO3,3
Cs2TiS3,2
Cs2TlAgBr6,2
Cs2TlAgCl6,2
Cs2TlAgF6,1
Cs2TlAgI6,2
Cs2TlAsBr6,2
Cs2TlAsCl6,2
Cs2TlAsF6,1
Cs2TlAsI6,2
Cs2TlAuBr6,2
Cs2TlAuCl6,1
Cs2TlAuI6,1
Cs2TlBiBr6,3
Cs2TlBiCl6,2
Cs2TlBiF6,2
Cs2TlBiI6,2
Cs2TlCoF6,1
Cs2TlCrF6,1
Cs2TlCuBr6,1
Cs2TlCuCl6,2
Cs2TlCuF6,1
Cs2TlFeF6,1
Cs2TlGaBr6,1
Cs2TlGaCl6,2
Cs2TlGaF6,1
Cs2TlGaI6,1
Cs2TlHgBr6,1
Cs2TlHgCl6,2
Cs2TlHgF6,1
Cs2TlHgI6,2
Cs2TlInBr6,2
Cs2TlInCl6,3
Cs2TlInF6,2
Cs2TlInH6,1
Cs2TlInI6,1
Cs2TlMoF6,1
Cs2TlPdF6,1
Cs2TlRhF6,1
Cs2TlRuF6,1
Cs2TlSbBr6,3
Cs2TlSbCl6,2
Cs2TlSbF6,2
Cs2TlSbI6,2
Cs2TlVF6,1
Cs2TmCuCl6,2
Cs2V5O13,1
Cs2VAgF6,1
Cs2VAgS4,2
Cs2VCl6,2
Cs2VF6,14
Cs2VHO4,2
Cs2W(OF2)2,1
Cs2WBr6,4
Cs2WCl6,1
Cs2WO4,8
Cs2YAgBr6,2
Cs2YAgCl6,3
Cs2YAgF6,1
Cs2YAgI6,1
Cs2YAuBr6,1
Cs2YAuCl6,1
Cs2YAuI6,2
Cs2YCuBr6,1
Cs2YCuCl6,1
Cs2YCuI6,2
Cs2YHgBr6,1
Cs2YHgI6,1
Cs2YInBr6,2
Cs2YInCl6,2
Cs2YInF6,2
Cs2YInI6,2
Cs2YTlBr6,3
Cs2YTlCl6,3
Cs2YTlF6,2
Cs2YTlI6,4
Cs2YbCl4,1
Cs2YbH4,1
Cs2Zn3S4,2
Cs2ZnFe(CN)6,1
Cs2Zr(AgTe2)2,2
Cs2Zr(WO4)3,1
Cs2ZrCl6,3
Cs2ZrCu3F12,2
Cs2ZrF6,9
Cs2ZrI6,4
Cs2ZrO3,2
Cs2ZrSe3,2
Cs2ZrTlOF5,1
Cs3(Cu4Se3)2,1
Cs3(SeO4)2,1
Cs3AlBr6,2
Cs3AlCl6,4
Cs3AlF6,4
Cs3As,16
Cs3As2Cl9,2
Cs3As5O9,1
Cs3AsBr6,2
Cs3AsCl6,3
Cs3AsF6,2
Cs3AsI6,3
Cs3AuF6,3
Cs3AuO,2
Cs3BAs2,1
Cs3BAsP,1
Cs3BP2,2
Cs3Bi,8
Cs3Bi2,2
Cs3Bi2Br9,3
Cs3Bi2Cl9,5
Cs3BiBr6,4
Cs3BiCl6,5
Cs3BiF6,8
Cs3BiI6,3
Cs3BrO,4
Cs3Ca2Cl7,2
Cs3CdBr5,3
Cs3CdH5,1
Cs3CeCl6,5
Cs3CeF6,6
Cs3CoBr5,2
Cs3CoCl5,3
Cs3CoF6,2
Cs3DyO3,3
Cs3ErO3,2
Cs3EuCl6,3
Cs3EuF6,3
Cs3Fe2Cl9,2
Cs3FeBr5,1
Cs3FeF6,5
Cs3GaCl6,3
Cs3GaF6,4
Cs3GaO3,5
Cs3GdCl6,3
Cs3Ge4Au,1
Cs3H(SeO4)2,3
Cs3H5Pd,2
Cs3H5Pt,2
Cs3HoCl6,5
Cs3HoO3,3
Cs3IO,3
Cs3InBr6,4
Cs3InCl6,4
Cs3InF6,8
Cs3InI6,3
Cs3K,18
Cs3LaCl6,5
Cs3LaI6,6
Cs3LaO3,2
Cs3Li2Br5,1
Cs3Li2Cl5,1
Cs3Li2F5,1
Cs3Li2I5,1
Cs3LiBr4,3
Cs3LiCl4,3
Cs3LiF4,3
Cs3LiI4,3
Cs3LiPb4,2
Cs3Mg2Cl7,2
Cs3MgH5,2
Cs3MnBr5,1
Cs3MnCl5,1
Cs3MnH5,1
Cs3MnI5,2
Cs3NaPb4,2
Cs3NiCl5,2
Cs3O,5
Cs3Pb4Au,1
Cs3PdF5,2
Cs3PdF6,3
Cs3PrCl6,4
Cs3PrF6,4
Cs3Rb,24
Cs3Sb,12
Cs3Sb2Br9,4
Cs3Sb2Cl9,4
Cs3Sb2I9,3
Cs3SbBr6,3
Cs3SbCl6,4
Cs3SbF6,5
Cs3SbI6,3
Cs3ScBr6,5
Cs3ScF6,5
Cs3ScI6,2
Cs3ScO3,4
Cs3SmCl6,6
Cs3TaO8,1
Cs3TbCl6,5
Cs3TbF6,3
Cs3TiF6,4
Cs3Tl2Br9,2
Cs3TlBr6,3
Cs3TlCl6,4
Cs3TlF6,7
Cs3TlO3,4
Cs3TmCl6,3
Cs3TmO3,2
Cs3VF6,4
Cs3VSe4,3
Cs3YBr6,5
Cs3YCl6,2
Cs3YF6,7
Cs3YI6,5
Cs3YO3,2
Cs3ZnBr5,3
Cs3ZnCl5,2
Cs3ZnH5,1
Cs4Au6S5,2
Cs4BiSbCl12,2
Cs4CdNi3F12,1
Cs4Cu3F10,1
Cs4CuSi2O7,1
Cs4FeSbCl12,1
Cs4InSbCl12,2
Cs4IrO4,3
Cs4KLiFe2F12,1
Cs4KLiGa2F12,1
Cs4Li(Pb2O3)2,2
Cs4Na2ScGaF12,1
Cs4Sb2O5,1
Cs4Sn2Au7,1
Cs4Sr(SnSe3)3,1
Cs4TlSbCl12,2
Cs5Nb2S4Br9,1
Cs5Nb2S4Cl9,1
Cs5Te3,1
Cs5Tl11Cd2,1
Cs5YO4,3
Cs6Fe2O5,1
Cs6GaSb3,1
Cs6InAs3,1
Cs6Si2NiO8,1
Cs7Au5O2,1
Cs8Tl8O,1
CsAg(NO3)2,4
CsAg3S2,7
CsAg3Se2,4
CsAg3Te2,3
CsAgBr2,12
CsAgBr3,20
CsAgCl2,17
CsAgCl3,5
CsAgF3,5
CsAgO,7
CsAgO2,7
CsAl(MoO4)2,2
CsAlCuF6,4
CsAlF4,8
CsAlNiF6,3
CsAlO2,6
CsAlTe3,4
CsAs(HO2)2,2
CsAs4F13,1
CsAsF4,11
CsAsF6,9
CsAsO3,11
CsAu,21
CsAu(IO3)4,2
CsAu2F7,2
CsAu3S2,3
CsAu3Se2,4
CsAuBr3,8
CsAuCl3,5
CsAuCl4,3
CsAuF4,7
CsAuI3,24
CsAuO,3
CsAuO2,5
CsAuS,10
CsAuSe,10
CsAuSe3,2
CsB3PbF12,1
CsBH4,12
CsBS2,29
CsBSe3,5
CsBa2Co2F9,1
CsBa2Cr2F11,1
CsBa2Nb3O10,3
CsBa2Ni2F9,1
CsBa2Zn2F9,1
CsBaI3,33
CsBaSiHO4,1
CsBe2BO3F2,3
CsBeF3,8
CsBeH3,9
CsBi2,5
CsBi2Br7,2
CsBiF6,10
CsBiO2,9
CsBiS2,9
CsBiSe2,11
CsBr,24
CsBr3,15
CsBrF4,10
CsBrF6,5
CsBrO3,5
CsBrO4,3
CsC2N3,1
CsC8,3
CsCN,4
CsCNO,1
CsCSN,1
CsCa(NO2)3,1
CsCa2Ta3O10,3
CsCaBr3,25
CsCaCl3,27
CsCaF3,17
CsCaH3,2
CsCaI3,30
CsCd(NO2)3,1
CsCd4As3,1
CsCdAuS2,2
CsCdBr3,7
CsCdCl3,7
CsCdF3,16
CsCeCdSe3,2
CsCeCuS3,2
CsCeHgSe3,2
CsCeS2,4
CsCl,19
CsClO3,4
CsClO4,6
CsCoCl3,3
CsCoCuF6,1
CsCoF3,5
CsCoNiF6,1
CsCr5S8,2
CsCr5Se8,1
CsCr5Te8,1
CsCrBr3,3
CsCrCl3,3
CsCrCoF6,3
CsCrCuF6,2
CsCrF4,8
CsCrFeF6,3
CsCrI3,5
CsCrNiF6,3
CsCrO3F,1
CsCrP2S7,1
CsCu(BiS2)2,1
CsCu2Br3,4
CsCu2Cl3,2
CsCu2I3,3
CsCu2ICl2,1
CsCu3O2,2
CsCu3S2,3
CsCu4S3,1
CsCu4Se3,1
CsCu5S3,2
CsCuBr3,11
CsCuCl3,9
CsCuF4,6
CsCuNiF6,1
CsCuO,9
CsCuO2,5
CsCuRhF6,4
CsDyCdSe3,2
CsDyCdTe3,2
CsDyO2,3
CsDyS2,4
CsDyZnSe3,2
CsDyZnTe3,2
CsEr(MoO4)2,6
CsEr6CI12,1
CsErCdTe3,2
CsErO2,4
CsErS2,6
CsErZnSe3,2
CsErZnTe3,2
CsEuBr3,4
CsEuCl3,4
CsEuF3,2
CsEuS2,2
CsF,25
CsFe(MoO4)2,2
CsFe(SeO4)2,4
CsFe2F6,3
CsFe2S3,1
CsFe2Se3,2
CsFeCl3,4
CsFeCoF6,4
CsFeCuF6,2
CsFeCuS2,2
CsFeNiF6,2
CsFeO2,17
CsFeS2,5
CsGa(SO4)2,6
CsGa3,4
CsGa7,2
CsGaCuF6,4
CsGaH4,11
CsGaNiF6,3
CsGaO2,27
CsGaP3HO10,3
CsGaS2,6
CsGaS3,4
CsGaSe3,4
CsGdCdTe3,2
CsGdHgSe3,1
CsGdO2,3
CsGdS2,4
CsGdTe4,1
CsGdZnTe3,1
CsGeBr3,9
CsGeCl3,6
CsGeI3,5
CsH,34
CsH3O2,4
CsHCO2,2
CsHF2,9
CsHIF7,1
CsHO,20
CsHS,14
CsHSO4,5
CsHg,22
CsHg2,10
CsHg2Br5,2
CsHg3,10
CsHg5Cl11,1
CsHgBr3,13
CsHgCl3,13
CsHgF3,24
CsHgSbSe3,2
CsHoCdTe3,2
CsHoCoSe3,1
CsHoMnSe3,2
CsHoO2,4
CsHoS2,4
CsHoZnSe3,2
CsHoZnTe3,2
CsI,20
CsI3,10
CsI4,5
CsICl2,5
CsIO3,8
CsIn(Cu3O4)2,1
CsIn3,4
CsIn5S8,1
CsInAgF6,3
CsInBr3,28
CsInCl3,5
CsInCuF6,4
CsInF3,23
CsInI3,7
CsInO2,26
CsK,49
CsK(ClO4)2,1
CsK(Fe2S3)2,1
CsK2,24
CsK2As,9
CsK2Bi,5
CsK2Ho(PO4)2,1
CsK2PdF5,1
CsK2Rb,21
CsK2Sb,5
CsK2Sc(PO4)2,1
CsK3,23
CsKRb2,15
CsLa2CuSe4,1
CsLa2Ti2NbO10,1
CsLaCdTe3,2
CsLaHgSe3,2
CsLaNb2O7,1
CsLaO2,18
CsLaS2,5
CsLaZnTe3,2
CsLi2(HO)3,2
CsLi2Br3,7
CsLi2Cl3,7
CsLi2F3,4
CsLi2I3,6
CsLi3Br4,2
CsLi3Cl4,1
CsLi3F4,1
CsLi3I4,2
CsLiBr2,13
CsLiCl2,10
CsLiF2,5
CsLiH4SO5,1
CsLiI2,9
CsLiMnP3HO10,1
CsLiMnS2,4
CsLiMoO4,2
CsLiO,5
CsLiWO4,2
CsLiZnS2,4
CsLu(MoO4)2,3
CsLuCdTe3,2
CsLuS2,2
CsMgAlF6,3
CsMgBr3,5
CsMgCl3,9
CsMgCoF6,1
CsMgF3,4
CsMgFeF6,3
CsMgGaF6,3
CsMgH3,5
CsMgI3,7
CsMgInF6,3
CsMgNiF6,2
CsMn(CN)3,1
CsMnAs,2
CsMnBr3,5
CsMnCl3,3
CsMnCrF6,3
CsMnCuF6,4
CsMnFeF6,3
CsMnH5(SO5)2,1
CsMnI3,5
CsMnMo(OF)3,2
CsMnP,1
CsMnP3HO10,2
CsMnTe2,21
CsMnVF6,3
CsMoO2F3,2
CsN3,7
CsNO2,10
CsNO3,12
CsNa2,8
CsNa2BO3,1
CsNa3,9
CsNaF3,13
CsNaS,6
CsNaSe,6
CsNaTe,7
CsNaTiO3,1
CsNb(BO3)2,2
CsNb(PO4)2,3
CsNbCl6,9
CsNbF6,9
CsNbN2,6
CsNbNi(OF2)2,1
CsNbWO6,2
CsNd2CuSe4,1
CsNd2Ti2NbO10,1
CsNd5Se8,2
CsNdCdTe3,2
CsNdHgSe3,2
CsNdO2,6
CsNdS2,4
CsNdTe2,6
CsNi2F6,1
CsNiBr3,4
CsNiCl3,4
CsNiF3,7
CsNiPdF5,2
CsO2,15
CsP(HO2)2,7
CsPF6,6
CsPHO3F,3
CsPO3,11
CsPS3,4
CsPSO2,3
CsPb2Br5,4
CsPb2Cl5,6
CsPb2I5,2
CsPb3,4
CsPbBr3,8
CsPbCl3,8
CsPbF3,7
CsPbI3,6
CsPd2F5,1
CsPdBr3,26
CsPdCl3,5
CsPdF3,4
CsPr2Ti2NbO10,1
CsPrCdSe3,2
CsPrCdTe3,2
CsPrHgSe3,2
CsPrS2,4
CsPrZnTe3,2
CsPt2Se3,2
CsRb,49
CsRb2AlF6,3
CsRb2AsBr6,2
CsRb2AsCl6,2
CsRb2AsF6,2
CsRb2AsI6,1
CsRb2Au7,1
CsRb2Bi,8
CsRb2BiF6,4
CsRb2CoF6,2
CsRb2DyCl6,3
CsRb2ErCl6,3
CsRb2FeF6,4
CsRb2GaF6,4
CsRb2GdCl6,1
CsRb2InBr6,1
CsRb2InCl6,2
CsRb2InF6,4
CsRb2IrF6,2
CsRb2LuCl6,2
CsRb2MoF6,4
CsRb2PdF5,1
CsRb2PdF6,3
CsRb2RhF6,3
CsRb2Sb,6
CsRb2SbCl6,2
CsRb2SbF6,2
CsRb2ScBr6,3
CsRb2ScCl6,3
CsRb2ScF6,4
CsRb2TbCl6,3
CsRb2TiF6,4
CsRb2TlBr6,2
CsRb2TlF6,4
CsRb2TmCl6,3
CsRb2VF6,2
CsRb2YBr6,3
CsRb2YCl6,3
CsRb2YF6,4
CsRb3,32
CsRbAu2,9
CsRbMnF6,6
CsRbO,7
CsRbSO4,3
CsReF6,13
CsReF8,2
CsReO4,12
CsRuF6,11
CsS,18
CsS3,3
CsSO2F,4
CsSO3,5
CsSO4,6
CsSb,25
CsSb(PO4)2,2
CsSb2F7,6
CsSbCl6,7
CsSbF6,9
CsSbO2,7
CsSbS2,8
CsSbSe2,10
CsSbTeO6,3
CsSbWO6,2
CsSc(SO4)2,2
CsSc(WO4)2,1
CsSc3(CuTe3)2,1
CsScAgF6,2
CsScBr3,23
CsScCl3,3
CsScCuF6,1
CsScI3,4
CsScO2,23
CsSeBr3,29
CsSeO4,3
CsSiTe3,6
CsSm2CuSe4,1
CsSm2Ti2NbO10,1
CsSmCdSe3,2
CsSmCdTe3,2
CsSmHgSe3,2
CsSmMnSe3,2
CsSmO2,5
CsSmS2,7
CsSmZnSe3,2
CsSmZnTe3,2
CsSn2Br5,5
CsSn2Cl5,4
CsSn3,5
CsSnBr3,29
CsSnCl3,11
CsSnF3,28
CsSnI3,8
CsSnS3,5
CsSnSe3,5
CsSr2Nb3O10,4
CsSr2Ta3O10,2
CsSrBr3,26
CsSrCl3,28
CsSrF3,27
CsSrI3,37
CsSrSiHO4,1
CsTa(BO3)2,2
CsTa(PO4)2,2
CsTaCl6,8
CsTaGeS5,1
CsTaI6,5
CsTaN2,3
CsTaS3,5
CsTaSe3,5
CsTaTe3,4
CsTaWO6,1
CsTbCdSe3,2
CsTbS2,5
CsTbZnSe3,2
CsTbZnTe3,2
CsTe,23
CsTe4,3
CsTeAu,14
CsTeSe3,5
CsTi2(CuTe4)2,1
CsTi2(OF)3,2
CsTi2Cl7,4
CsTi3AlO8,1
CsTi5Se8,1
CsTiAlO4,3
CsTiBr3,3
CsTiCl3,3
CsTiCu3Se4,2
CsTiCuOF5,1
CsTiI3,3
CsTiMnOF5,2
CsTiNb(O2F)2,2
CsTiZnOF5,2
CsTlAgF6,2
CsTlBr3,22
CsTlCl3,7
CsTlCuF6,1
CsTlF3,22
CsTlI3,5
CsTlO,4
CsTlO2,27
CsTm(WO4)2,3
CsTmCdTe3,2
CsTmCoS3,1
CsTmO2,4
CsTmS2,6
CsTmZnSe3,2
CsTmZnTe3,2
CsV2O5,1
CsV5S8,1
CsV5Se8,1
CsVBr3,4
CsVCl3,3
CsVCuF6,2
CsVFeF6,2
CsVI3,3
CsVN2,4
CsVNiF6,3
CsVO3,9
CsVP2S7,1
CsVTeO6,1
CsVWO6,2
CsVZnF6,4
CsWCl6,5
CsYCdSe3,2
CsYHgSe3,2
CsYMnSe3,2
CsYO2,8
CsYZnSe3,2
CsYZnTe3,2
CsYbBr3,4
CsYbCl3,4
CsYbF3,1
CsYbH3,1
CsYbMnSe3,1
CsZn4As3,1
CsZn4P3,1
CsZnCoF6,3
CsZnFeF6,4
CsZnNiF6,4
CsZrCuSe3,2
Cu,28
Cu(AgO)2,3
Cu(Bi4Ir)3,1
Cu(BiO2)2,4
Cu(HO)2,5
Cu(IO3)2,6
Cu(IrS2)2,2
Cu(Mo3Se4)2,1
Cu(NiO2)2,1
Cu(PO3)2,5
Cu(PtS2)2,2
Cu(RhO2)2,1
Cu(RhS2)2,1
Cu(RhSe2)2,2
Cu(SbO3)2,2
Cu(SnS2)4,1
Cu11Sb3,1
Cu2Ag(SO5)2,1
Cu2Ag(SeO5)2,1
Cu2Ag2O3,1
Cu2AgH(SeO5)2,1
Cu2AgPS4,2
Cu2As,20
Cu2As2O7,3
Cu2B3Ir4,1
Cu2GeO4,1
Cu2GeS3,4
Cu2GeS4,1
Cu2GeSe3,4
Cu2GeSe4,1
Cu2GeTe3,6
Cu2HgGeS4,4
Cu2HgGeSe4,4
Cu2HgI4,6
Cu2Mo3Se4,1
Cu2NO6,2
Cu2NiO4,2
Cu2NiSn3S8,1
Cu2NiSnO4,1
Cu2NiSnS4,3
Cu2NiSnSe4,3
Cu2O,4
Cu2O3,8
Cu2OF2,5
Cu2P2O7,2
Cu2PPd2,3
Cu2PbO2,1
Cu2Pd3Se4,1
Cu2PdAu,10
Cu2S,17
Cu2SO4,3
Cu2SO5,2
Cu2Sb,16
Cu2SiHgS4,2
Cu2SiHgSe4,3
Cu2SiHgTe4,3
Cu2SiS3,6
Cu2SiSe3,3
Cu2SiTe3,5
Cu2SnHgS4,4
Cu2SnHgSe4,4
Cu2SnHgTe4,3
Cu2SnS3,6
Cu2SnSe3,7
Cu2SnSe4,4
Cu2SnTe3,4
Cu2TeO6,3
Cu2WS4,2
Cu2WSe4,3
Cu3(AsO4)2,3
Cu3(GeO3)4,1
Cu3(MoO3)4,1
Cu3(OF)2,3
Cu3(PO4)2,2
Cu3(SbO3)4,1
Cu3(SnO3)4,1
Cu3(TeO5)2,2
Cu3Ag,18
Cu3Ag3(PS4)2,1
Cu3As,22
Cu3As4(OF)6,1
Cu3AsF12,2
Cu3AsO7,2
Cu3AsS4,4
Cu3AsSe4,3
Cu3Au,21
Cu3B5Pt9,1
Cu3Ge,7
Cu3Mo2(HO5)2,3
Cu3Ni,24
Cu3NiHgSe4,1
Cu3OF5,7
Cu3P,22
Cu3PF12,1
Cu3PS4,3
Cu3PSe4,4
Cu3Pd,18
Cu3Pd2,11
Cu3PdAu4,3
Cu3Pt,25
Cu3Rh,21
Cu3Sb,10
Cu3SbF12,2
Cu3SbS4,4
Cu3SbSe4,4
Cu3Se2,8
Cu3Se2(ClO3)2,2
Cu3Si,18
Cu3Sn,9
Cu3Sn4PbO12,1
Cu3Te2,12
Cu3Te2(BrO3)2,1
Cu3TeS3Cl,1
Cu4As,7
Cu4Au,13
Cu4Bi3Pb(SeO)4,1
Cu4NiGe2S7,1
Cu4PtO5,2
Cu4Si(GeO4)3,1
Cu4Si2NiS7,1
Cu4SnP10,2
Cu5(AsO5)2,1
Cu5(AsO6)2,2
Cu5(PO5)2,1
Cu5(PO6)2,4
Cu5As2,2
Cu5Ge2,3
Cu5Sn2Se7,1
Cu5Sn2Te7,1
Cu6BiS6,1
Cu6OF11,7
Cu6PbO8,3
Cu6SnGe,3
Cu6SnO8,2
Cu6SnWS8,1
Cu7Si2,1
Cu8NO11,1
Cu8O7,3
Cu9Se5,3
Cu9Se8,2
CuAg3,17
CuAgF3,24
CuAgGeSe3,1
CuAgO2,12
CuAgS,9
CuAgSe,17
CuAgTe2,22
CuAs,35
CuAs2,24
CuAsF7,1
CuAsO3,6
CuAsPbO4,2
CuAsPtS2,1
CuAsS,7
CuAsSe,14
CuAu,43
CuAu3,22
CuAu4,10
CuAuF5,3
CuAuO2,9
CuAuSe4,3
CuBIr,4
CuBS2,5
CuBSe2,34
CuBi(PSe3)2,2
CuBi(WO4)2,1
CuBi5S8,2
CuBiO2,10
CuBiS2,9
CuBiSCl2,3
CuBiSeO,2
CuBr,42
CuBr2,22
CuBrO2,10
CuCO3,8
CuCl,35
CuCl2,39
CuF2,14
CuGe2N3,2
CuGeO3,8
CuGePSe,1
CuGeRh2,4
CuH,52
CuH2SO5,2
CuH2SeO5,2
CuH4(OF)2,1
CuH4Pb2(ClO2)2,1
CuH6BrN2,2
CuHO2,11
CuHOF,2
CuHgO2,9
CuHgSBr,3
CuHgSCl,4
CuHgSI,2
CuI,30
CuMoF6,6
CuMoO4,8
CuNi,36
CuNi2Sb,11
CuNi2Sn,5
CuNi3,23
CuNi3(SnS4)2,1
CuNi3N,31
CuNi3O4,2
CuNi3S8,1
CuNi4O5,2
CuNi9O10,1
CuNiO2,11
CuNiSb2,14
CuO,25
CuO2F,6
CuP2,21
CuPN2,4
CuPO4,9
CuPS3,6
CuPbF6,4
CuPbO2,11
CuPbSO6,2
CuPd,25
CuPd3,14
CuPdF6,8
CuPdO2,8
CuPt,47
CuPt7,3
CuPtF6,3
CuPtO2,8
CuReO4,7
CuRh,30
CuRh2Pb,11
CuRhO2,7
CuS,35
CuS2,14
CuSbRh2,10
CuSbS2,9
CuSbSe2,25
CuSe,63
CuSe2,40
CuSe2O5,3
CuSeO3,14
CuSeO4,6
CuSiO3,4
CuSiRh2,18
CuSn,19
CuSnAu,7
CuSnF6,4
CuSnPd2,12
CuSnRh2,4
CuTe,50
CuTe2,35
CuTeO3,9
CuTeO4,6
CuTeSBr,2
CuTeSCl,1
CuWO3F2,1
CuWO4,7
Dy,25
Dy(Al2Cr)4,1
Dy(Al2Cu)4,1
Dy(Al2Fe)4,1
Dy(AlC)3,1
Dy(AlCu)6,1
Dy(AlFe)6,1
Dy(AlGe)2,3
Dy(AlSi)2,2
Dy(BC)2,4
Dy(BIr)2,3
Dy(BRh)4,1
Dy(BiO2)3,2
Dy(Co2B)6,1
Dy(CoB)2,3
Dy(CoB)4,3
Dy(CoGe)2,2
Dy(CoGe)6,2
Dy(CoSi)2,1
Dy(CrFe5)2,1
Dy(CrGe)6,1
Dy(CuGe)2,3
Dy(CuS)3,1
Dy(CuSe)3,1
Dy(CuSi)2,1
Dy(CuTe)3,1
Dy(Fe2Ge)2,3
Dy(Fe2Si)2,2
